rank,prev_rank,name,league,off,def,spi
556,557,Sandefjord,Norwegian Tippeligaen,0.93,2.38,18.78
557,565,Kaizer Chiefs,South African ABSA Premier League,0.57,1.76,18.71
558,559,Shandong Luneng,Chinese Super League,0.82,2.22,18.5
559,548,Bristol Rovers,English League One,0.86,2.29,18.47
560,561,Jiangsu Suning FC,Chinese Super League,0.71,2.04,18.37
561,562,IFK Värnamo,Swedish Allsvenskan,0.69,2.02,18.36
562,555,Lincoln City,English League One,0.53,1.72,18.26
563,566,Black Aces,South African ABSA Premier League,0.52,1.76,17.71
564,567,Arizona United,United Soccer League,0.8,2.25,17.67
565,569,Western United,Australian A-League,0.74,2.16,17.51
566,570,Adelaide United,Australian A-League,0.77,2.23,17.46
567,563,Wellington Phoenix,Australian A-League,0.77,2.23,17.34
568,568,Port Vale,English League One,0.55,1.84,17.32
569,549,Milton Keynes Dons,English League One,0.54,1.82,17.29
570,564,Salford City,English League Two,0.63,1.99,17.12
571,579,Morecambe,English League One,0.66,2.06,16.98
572,571,Stevenage,English League Two,0.53,1.84,16.9
573,582,Northampton Town,English League Two,0.57,1.93,16.63
574,584,Newcastle Jets,Australian A-League,0.69,2.14,16.63
575,574,FK Jerv,Norwegian Tippeligaen,0.75,2.29,16.36
576,575,Detroit City FC,United Soccer League,0.51,1.85,16.31
577,576,El Paso Locomotive FC,United Soccer League,0.69,2.18,16.27
578,578,Swindon Town,English League Two,0.61,2.06,16.06
579,572,Cheltenham Town,English League One,0.54,1.93,16.03
580,580,Varbergs BoIS FC,Swedish Allsvenskan,0.71,2.26,15.85
581,583,AmaZulu,South African ABSA Premier League,0.36,1.62,15.44
582,581,Macarthur FC,Australian A-League,0.71,2.31,15.3
583,585,Orange County SC,United Soccer League,0.57,2.08,14.94
584,587,Carlisle United,English League Two,0.52,1.99,14.91
585,577,Brisbane Roar,Australian A-League,0.51,1.98,14.83
586,573,Stockport County,English League Two,0.47,1.9,14.71
587,591,Burton Albion,English League One,0.69,2.37,14.29
588,588,Hartford Athletic,United Soccer League,0.73,2.48,14.01
589,598,Mansfield Town,English League Two,0.61,2.25,13.9
590,595,Stellenbosch FC,South African ABSA Premier League,0.42,1.9,13.79
591,586,Sekhukhune United,South African ABSA Premier League,0.32,1.69,13.64
592,592,Chippa United,South African ABSA Premier League,0.39,1.87,13.35
593,600,Perth Glory,Australian A-League,0.49,2.12,13.02
594,594,Tulsa Roughnecks,United Soccer League,0.66,2.46,12.98
595,593,Richards Bay,South African ABSA Premier League,0.31,1.72,12.98
596,589,Leyton Orient,English League Two,0.31,1.75,12.65
597,597,Accrington Stanley,English League One,0.49,2.17,12.49
598,599,Monterey Bay,United Soccer League,0.5,2.23,12.2
599,590,Golden Arrows,South African ABSA Premier League,0.47,2.16,12.13
600,601,TS Galaxy,South African ABSA Premier League,0.2,1.56,12.02
601,602,Tianjin Teda,Chinese Super League,0.5,2.26,11.8
602,604,Tranmere Rovers,English League Two,0.32,1.87,11.68
603,596,Lamia,Greek Super League,0.28,1.81,11.37
604,605,Shanghai Greenland,Chinese Super League,0.56,2.47,11.13
605,603,Royal AM,South African ABSA Premier League,0.4,2.13,10.96
606,609,AFC Wimbledon,English League Two,0.32,1.97,10.96
607,608,LA Galaxy II,United Soccer League,0.57,2.51,10.91
608,606,Bradford City,English League Two,0.31,1.95,10.85
609,610,Hebei China Fortune FC,Chinese Super League,0.5,2.43,10.52
610,612,Walsall,English League Two,0.3,1.97,10.39
