,twitter,FPL,FPL_Rank,xG,xG_Rank,IO,IO_Rank,MD,MD_Rank,Luck,Luck_Rank
46,Raghy78d,2508.0,5855.0,2425.0,945.0,2458.0,58.0,2410.0,367.0,36.42,70.1%
47,pdhFPL,2354.0,182700.0,2403.0,2793.0,2430.0,932.0,2439.0,15.0,-110.44,6.1%
48,NeilRankinZA,2326.0,266162.0,2231.0,198553.0,2302.0,153017.0,2318.0,50277.0,5.16,52.7%
49,EuanThompson,2501.0,7359.0,2469.0,53.0,2456.0,75.0,2444.0,8.0,4.04,52%
50,FPLrookie1,2348.0,198797.0,2334.0,27266.0,2369.0,26915.0,2321.0,45678.0,-33.12,31.9%
51,FplBudget,2432.0,46307.0,2282.0,85951.0,2375.0,21949.0,2372.0,6076.0,49.46,76.2%
52,FF_Vader,2470.0,18489.0,2379.0,7073.0,2440.0,410.0,2403.0,674.0,21.95,62.4%
53,alasdairtweets,2533.0,2507.0,2418.0,1372.0,2446.0,252.0,2421.0,118.0,64.47,82.5%
54,fpl_analytic,2353.0,185322.0,2246.0,158582.0,2372.0,23864.0,2365.0,8468.0,-14.0,42.1%
55,stephendeyoung,2305.0,341808.0,2255.0,138415.0,2323.0,97936.0,2301.0,79633.0,-25.4,35.9%
56,James_Ingram15,2395.0,95151.0,2399.0,3316.0,2454.0,85.0,2443.0,10.0,-77.47,14.2%
57,FPL_Kid,2427.0,51481.0,2326.0,33561.0,2374.0,22739.0,2366.0,8196.0,31.51,67.6%
58,fpl_jan,2604.0,96.0,2512.0,3.0,2465.0,22.0,2431.0,36.0,93.86,91.4%
59,FPL_Mezzala,2507.0,6053.0,2478.0,18.0,2444.0,303.0,2418.0,156.0,19.79,61.1%
60,morstats,2420.0,59428.0,2319.0,39665.0,2344.0,57169.0,2323.0,43538.0,52.15,77.5%
61,FplOpinion,2404.0,80909.0,2335.0,26758.0,2406.0,5207.0,2406.0,551.0,-18.67,39.3%
62,_NeilFPL,2470.0,18489.0,2402.0,2802.0,2421.0,1940.0,2402.0,760.0,20.96,61.8%
63,UnderstandingF8,2315.0,303496.0,2161.0,482247.0,2265.0,293803.0,2238.0,281180.0,58.73,80.1%
64,EejRoberts,2398.0,90247.0,2385.0,5564.0,2430.0,969.0,2416.0,207.0,-53.03,22.7%
65,FPL_Gents,2414.0,66987.0,2342.0,22592.0,2416.0,2683.0,2381.0,3591.0,-6.24,46.2%
66,FPLHaggis,2419.0,60695.0,2353.0,16260.0,2390.0,11456.0,2365.0,8791.0,9.14,55%
67,Jumpthewave,2450.0,30826.0,2412.0,1799.0,2424.0,1564.0,2393.0,1655.0,-0.06,49.7%
68,DarraghNoonan,2471.0,18056.0,2421.0,1170.0,2423.0,1729.0,2401.0,828.0,15.67,58.9%
69,FPL_Chase,2473.0,17118.0,2410.0,2036.0,2440.0,440.0,2413.0,289.0,11.85,56.7%
70,jonwalker88,2384.0,114429.0,2370.0,9518.0,2454.0,84.0,2452.0,4.0,-82.05,12.8%
71,TomDavies_17,2474.0,16673.0,2396.0,3689.0,2401.0,6580.0,2381.0,3628.0,40.69,72.1%
72,FodWeTrust,2372.0,138723.0,2326.0,33686.0,2435.0,656.0,2416.0,206.0,-61.08,19.5%
73,FplPass,2352.0,187861.0,2280.0,89675.0,2321.0,102422.0,2312.0,58917.0,9.67,55.4%
74,prparsons,2415.0,65702.0,2371.0,9339.0,2397.0,8108.0,2362.0,10007.0,-2.06,48.6%
75,FplJeb,2372.0,138723.0,2269.0,108286.0,2429.0,1026.0,2396.0,1227.0,-33.42,31.7%
76,JosesBusDrivers,2317.0,296417.0,2378.0,7231.0,2442.0,344.0,2443.0,10.0,-144.61,2%
77,hidethecactus,2473.0,17118.0,2364.0,11728.0,2358.0,38884.0,2330.0,34101.0,82.35,88.6%
78,tweetsofagooner,2350.0,193195.0,2252.0,144263.0,2327.0,88779.0,2326.0,39214.0,10.15,55.6%
79,FplRafiki,2314.0,307221.0,2185.0,365086.0,2230.0,481925.0,2220.0,372650.0,67.66,83.7%
80,FPL_Audit,2488.0,11173.0,2338.0,25012.0,2406.0,5170.0,2361.0,10426.0,79.4,87.7%
81,DaveCZfpl,2308.0,329861.0,2244.0,163246.0,2356.0,40531.0,2344.0,21177.0,-45.47,26%
82,PaulGiurculet,2525.0,3307.0,2361.0,12601.0,2371.0,25188.0,2346.0,19978.0,125.35,96.7%
83,k_rybaczuk,2360.0,167160.0,2273.0,101419.0,2389.0,12102.0,2334.0,30224.0,-11.34,43.5%
84,CoalportGlen,2540.0,1897.0,2473.0,36.0,2450.0,141.0,2422.0,101.0,51.06,77%
85,FPLvariance,2350.0,193195.0,2382.0,6305.0,2409.0,4192.0,2393.0,1659.0,-85.09,11.8%
86,SchadenfreudeFF,2396.0,93494.0,2301.0,59259.0,2357.0,40055.0,2334.0,30573.0,26.38,64.8%
87,desphorin,2326.0,266162.0,2320.0,38509.0,2439.0,452.0,2428.0,60.0,-110.3,6.1%
88,arnarrafn1,2395.0,95151.0,2258.0,131296.0,2352.0,45770.0,2314.0,55477.0,48.59,75.9%
