Pos,ID,Name,BV,SV,Team,4_xMins,5_xMins,6_xMins,7_xMins,8_xMins,9_xMins,10_xMins,11_xMins,12_xMins,13_xMins,14_xMins,15_xMins,4_Pts,5_Pts,6_Pts,7_Pts,8_Pts,9_Pts,10_Pts,11_Pts,12_Pts,13_Pts,14_Pts,15_Pts,4_goals,5_goals,6_goals,7_goals,8_goals,9_goals,10_goals,11_goals,12_goals,13_goals,14_goals,15_goals,4_assists,5_assists,6_assists,7_assists,8_assists,9_assists,10_assists,11_assists,12_assists,13_assists,14_assists,15_assists,4_CS,5_CS,6_CS,7_CS,8_CS,9_CS,10_CS,11_CS,12_CS,13_CS,14_CS,15_CS,4_bonus,5_bonus,6_bonus,7_bonus,8_bonus,9_bonus,10_bonus,11_bonus,12_bonus,13_bonus,14_bonus,15_bonus,4_cbit,5_cbit,6_cbit,7_cbit,8_cbit,9_cbit,10_cbit,11_cbit,12_cbit,13_cbit,14_cbit,15_cbit,4_eo,5_eo,6_eo,7_eo,8_eo,9_eo,10_eo,11_eo,12_eo,13_eo,14_eo,15_eo
D,11,White,5.4,5.4,Arsenal,45.90,45.90,37.80,37.80,37.80,37.80,37.80,37.80,37.80,37.80,37.80,37.80,2.45,1.98,1.66,2.14,1.81,1.99,2.11,2.06,1.85,1.55,2.06,1.73,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.08,0.06,0.05,0.07,0.05,0.06,0.06,0.06,0.06,0.04,0.07,0.05,0.24,0.16,0.13,0.21,0.16,0.20,0.21,0.20,0.16,0.11,0.20,0.14,0.12,0.06,0.04,0.12,0.08,0.09,0.10,0.09,0.07,0.05,0.10,0.05,0,3,6,0,2,0,1,1,2,5,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,12,Zinchenko,4.9,4.9,Nott'm Forest,0.00,66.00,66.00,66.00,66.00,66.00,66.00,66.00,66.00,66.00,66.00,66.00,0.00,3.17,3.70,2.38,2.43,2.43,2.88,3.24,2.12,2.81,3.06,2.84,0.00,0.03,0.05,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.00,0.08,0.10,0.06,0.07,0.07,0.07,0.09,0.05,0.07,0.07,0.06,0.00,0.28,0.36,0.16,0.18,0.19,0.24,0.31,0.10,0.23,0.26,0.23,0.00,0.13,0.11,0.04,0.05,0.05,0.08,0.10,0.02,0.05,0.09,0.07,0,5,5,12,5,3,6,3,25,7,13,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,13,Clarke,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,14,Kacurri,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,15,Nichols,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,16,Saka,9.8,9.8,Arsenal,5.70,42.75,79.65,79.65,79.65,79.65,79.65,79.65,79.65,79.65,79.65,79.65,0.44,2.78,4.96,6.28,5.08,5.75,5.98,6.11,5.72,4.58,6.21,5.09,0.03,0.15,0.24,0.37,0.26,0.32,0.34,0.35,0.33,0.22,0.37,0.25,0.03,0.15,0.25,0.40,0.28,0.34,0.37,0.37,0.35,0.24,0.38,0.27,0.02,0.17,0.32,0.52,0.40,0.48,0.52,0.50,0.40,0.29,0.48,0.36,0.06,0.41,0.68,0.88,0.70,0.85,0.83,0.92,0.77,0.62,0.92,0.76,0,2,10,1,1,0,1,1,1,2,2,4,0.00,0.00,0.03,0.10,0.15,0.20,0.19,0.31,0.27,0.23,0.22,0.19
M,17,Ødegaard,7.9,7.9,Arsenal,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75,4.58,3.98,3.89,4.74,3.88,4.35,4.51,4.59,4.34,3.61,4.61,4.06,0.19,0.14,0.13,0.20,0.13,0.17,0.18,0.18,0.17,0.12,0.19,0.13,0.32,0.24,0.21,0.33,0.23,0.28,0.30,0.31,0.29,0.20,0.32,0.23,0.43,0.30,0.30,0.48,0.37,0.45,0.49,0.47,0.37,0.26,0.45,0.33,0.48,0.47,0.34,0.50,0.35,0.45,0.43,0.51,0.44,0.37,0.46,0.42,0,1,11,0,1,0,0,0,1,1,0,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,18,Madueke,7.0,7.0,Arsenal,71.25,59.85,45.60,45.60,45.60,45.60,45.60,45.60,45.60,45.60,45.60,45.60,4.64,3.37,2.52,3.11,2.56,2.90,2.95,3.03,2.85,2.34,3.04,2.54,0.30,0.19,0.13,0.20,0.14,0.17,0.18,0.19,0.18,0.12,0.20,0.14,0.23,0.14,0.10,0.15,0.10,0.13,0.14,0.14,0.13,0.09,0.15,0.10,0.42,0.23,0.14,0.22,0.17,0.20,0.22,0.21,0.17,0.12,0.20,0.15,0.35,0.27,0.17,0.26,0.18,0.26,0.22,0.26,0.21,0.14,0.24,0.18,0,1,3,0,0,0,0,0,0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,19,Martinelli,6.9,6.9,Arsenal,50.40,41.55,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,3.26,2.34,1.97,2.46,2.03,2.26,2.35,2.36,2.26,1.87,2.40,2.00,0.19,0.12,0.09,0.14,0.10,0.12,0.13,0.14,0.13,0.09,0.14,0.10,0.18,0.11,0.09,0.13,0.09,0.11,0.12,0.12,0.12,0.08,0.13,0.09,0.25,0.12,0.09,0.14,0.11,0.13,0.14,0.13,0.11,0.08,0.13,0.10,0.22,0.16,0.14,0.20,0.13,0.18,0.17,0.17,0.16,0.12,0.17,0.14,0,0,1,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,20,Trossard,6.9,6.9,Arsenal,33.30,30.45,27.45,27.45,27.45,27.45,27.45,27.45,27.45,27.45,27.45,27.45,2.24,1.75,1.57,1.91,1.59,1.79,1.85,1.87,1.80,1.48,1.91,1.61,0.14,0.09,0.08,0.12,0.08,0.10,0.11,0.11,0.10,0.07,0.12,0.08,0.12,0.08,0.07,0.10,0.07,0.09,0.09,0.09,0.09,0.06,0.10,0.07,0.10,0.05,0.03,0.05,0.04,0.05,0.06,0.05,0.04,0.03,0.05,0.04,0.18,0.11,0.13,0.15,0.11,0.15,0.15,0.16,0.15,0.09,0.17,0.14,0,0,1,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,21,Rice,6.5,6.5,Arsenal,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,4.28,3.92,4.12,4.79,3.99,4.34,4.40,4.42,4.37,3.63,4.57,3.96,0.13,0.10,0.09,0.14,0.10,0.12,0.13,0.13,0.12,0.08,0.14,0.10,0.27,0.21,0.19,0.29,0.20,0.25,0.26,0.27,0.25,0.17,0.28,0.20,0.45,0.31,0.31,0.50,0.39,0.47,0.51,0.49,0.39,0.28,0.47,0.35,0.42,0.38,0.33,0.48,0.36,0.42,0.47,0.49,0.36,0.35,0.50,0.39,8,17,34,24,19,16,9,9,23,15,14,18,0.02,0.03,0.04,0.06,0.07,0.08,0.08,0.09,0.10,0.08,0.10,0.10
M,22,Merino,5.9,5.9,Arsenal,25.20,25.20,25.20,25.20,25.20,25.20,25.20,25.20,25.20,25.20,25.20,25.20,1.43,1.26,1.24,1.48,1.26,1.38,1.42,1.42,1.40,1.18,1.42,1.25,0.08,0.06,0.05,0.08,0.06,0.07,0.07,0.07,0.07,0.05,0.08,0.05,0.06,0.05,0.04,0.07,0.05,0.06,0.06,0.06,0.06,0.04,0.06,0.04,0.05,0.03,0.03,0.05,0.04,0.05,0.05,0.05,0.04,0.03,0.05,0.04,0.10,0.07,0.06,0.10,0.06,0.09,0.11,0.10,0.10,0.07,0.07,0.08,0,1,2,1,1,1,0,0,1,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,23,Fábio Vieira,5.4,5.4,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,24,Nørgaard,5.4,5.4,Arsenal,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,0.36,0.35,0.36,0.40,0.35,0.35,0.36,0.37,0.38,0.32,0.38,0.35,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.02,0.02,0.03,0.03,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,1,2,3,3,2,1,1,2,2,1,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,25,Nwaneri,5.4,5.4,Arsenal,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,1.11,0.99,0.95,1.13,0.99,1.07,1.10,1.12,1.09,0.92,1.14,0.96,0.05,0.04,0.03,0.05,0.04,0.04,0.05,0.05,0.05,0.03,0.05,0.04,0.07,0.05,0.05,0.07,0.05,0.06,0.07,0.07,0.07,0.04,0.07,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.06,0.06,0.04,0.06,0.06,0.06,0.06,0.06,0.07,0.04,0.07,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,26,Zubimendi,5.4,5.4,Arsenal,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,3.40,3.29,3.40,3.99,3.39,3.35,3.59,3.60,3.60,2.92,3.62,3.42,0.09,0.07,0.07,0.10,0.07,0.08,0.09,0.09,0.08,0.06,0.09,0.07,0.11,0.08,0.08,0.12,0.08,0.10,0.10,0.11,0.10,0.07,0.11,0.08,0.44,0.30,0.30,0.49,0.38,0.46,0.50,0.48,0.38,0.27,0.46,0.34,0.16,0.10,0.09,0.21,0.16,0.11,0.18,0.16,0.13,0.15,0.18,0.17,16,30,38,37,28,19,22,24,34,16,25,33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,27,Nelson,4.9,4.9,Brentford,22.65,22.65,22.65,22.65,22.65,22.65,22.65,22.65,22.65,22.65,0.00,22.65,0.96,1.01,1.05,0.95,1.06,0.94,0.97,1.03,0.97,1.22,0.00,0.97,0.03,0.03,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.05,0.00,0.03,0.04,0.04,0.05,0.04,0.05,0.04,0.04,0.05,0.04,0.06,0.00,0.04,0.04,0.05,0.05,0.03,0.06,0.03,0.05,0.05,0.04,0.09,0.00,0.04,0.06,0.08,0.08,0.06,0.10,0.05,0.06,0.07,0.06,0.11,0.00,0.05,0,0,0,0,1,0,0,1,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,28,Kabia,4.5,4.5,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,29,Sambi,4.5,4.5,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,30,Havertz,7.4,7.4,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,31,G.Jesus,6.5,6.5,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,32,Martinez,5.0,5.0,Aston Villa,58.50,85.50,85.50,85.50,85.50,85.50,85.50,85.50,85.50,85.50,85.50,85.50,1.86,3.35,3.46,3.93,2.40,2.63,2.03,3.27,2.95,3.48,2.59,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.34,0.31,0.44,0.18,0.16,0.10,0.27,0.28,0.36,0.19,0.19,0.08,0.22,0.21,0.23,0.06,0.11,0.04,0.15,0.12,0.20,0.12,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
G,33,M.Bizot,4.5,4.5,Aston Villa,31.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,0.98,0.17,0.17,0.20,0.13,0.13,0.11,0.16,0.16,0.18,0.14,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.03,0.01,0.01,0.01,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
