Pos,ID,Name,BV,SV,Team,36_xMins,37_xMins,38_xMins,36_Pts,37_Pts,38_Pts
F,527,Awoniyi,5.2,5.2,Nott'm Forest,15.45,15.45,15.45,0.81,0.72,0.73
G,529,Moore,3.9,3.9,Sunderland,0.00,0.00,0.00,0.00,0.00,0.00
D,531,Ballard,4.7,4.7,Sunderland,0.00,0.00,0.00,0.00,0.00,0.00
D,532,Hume,4.5,4.5,Sunderland,72.60,72.60,72.60,2.63,2.56,2.59
D,535,Cirkin,4.0,4.0,Sunderland,6.90,6.90,6.90,0.26,0.25,0.25
D,539,O'Nien,4.0,4.0,Sunderland,30.90,30.90,30.90,1.08,1.14,1.05
D,541,Reinildo,3.8,3.8,Sunderland,73.95,73.95,73.95,2.24,2.36,2.17
M,544,Diarra,5.3,5.3,Sunderland,67.50,67.50,67.50,2.83,2.64,2.68
M,546,Aleksić,4.9,4.9,Sunderland,0.90,0.90,0.90,0.03,0.03,0.03
M,547,E.Le Fée,4.8,4.8,Sunderland,82.65,82.65,82.65,3.69,3.57,3.52
M,548,Mundle,4.9,4.9,Sunderland,0.00,0.00,0.00,0.00,0.00,0.00
M,550,Poveda,4.7,4.7,Sunderland,0.00,0.00,0.00,0.00,0.00,0.00
M,551,Rigg,4.7,4.7,Sunderland,13.35,13.35,13.35,0.54,0.52,0.50
M,552,Sadiki,4.9,4.9,Sunderland,83.25,83.25,83.25,2.58,2.54,2.52
M,553,Talbi,4.9,4.9,Sunderland,65.10,65.10,65.10,2.91,2.73,2.79
M,554,Ba,4.3,4.3,Sunderland,0.00,0.00,0.00,0.00,0.00,0.00
M,557,H.Jones,4.3,4.3,Sunderland,0.00,0.00,0.00,0.00,0.00,0.00
F,560,Isidor,5.0,5.0,Sunderland,15.45,15.45,15.45,0.78,0.76,0.75
F,561,Mayenda,5.1,5.1,Sunderland,9.75,9.75,9.75,0.46,0.42,0.44
F,562,Abdullahi,4.2,4.2,Sunderland,0.60,0.60,0.60,0.03,0.03,0.03
G,565,Vicario,4.7,4.7,Spurs,0.00,89.10,89.10,0.00,2.83,3.41
G,566,Austin,3.9,3.9,Spurs,0.00,0.00,0.00,0.00,0.00,0.00
G,567,Kinsky,3.9,3.9,Spurs,89.10,0.90,0.90,3.57,0.03,0.03
D,568,Pedro Porro,5.2,5.2,Spurs,84.90,84.90,84.90,4.67,2.94,4.37
D,569,Romero,5.0,5.0,Spurs,0.00,0.00,0.00,0.00,0.00,0.00
D,570,Danso,4.2,4.2,Spurs,81.60,81.60,81.60,4.51,3.14,4.36
D,571,Davies,4.3,4.3,Spurs,0.00,0.00,0.00,0.00,0.00,0.00
D,572,Dragusin,4.5,4.5,Spurs,8.55,8.55,8.55,0.42,0.34,0.41
D,573,Spence,4.1,4.1,Spurs,34.95,34.95,34.95,1.53,1.09,1.49
D,574,Udogie,4.3,4.3,Spurs,68.40,68.40,68.40,3.05,1.95,2.92
D,575,Van de Ven,4.4,4.4,Spurs,86.70,86.70,86.70,3.81,2.36,3.66
M,580,Johnson,6.5,6.5,Crystal Palace,111.00,61.80,61.80,4.48,2.56,2.33
M,581,Maddison,6.8,6.8,Spurs,3.00,3.00,3.00,0.17,0.14,0.16
M,582,Kudus,6.4,6.4,Spurs,0.00,0.00,0.00,0.00,0.00,0.00
M,583,Kulusevski,6.4,6.4,Spurs,0.00,0.00,0.00,0.00,0.00,0.00
M,584,Tel,6.2,6.2,Spurs,79.35,67.50,67.50,4.54,3.11,3.62
M,585,Bentancur,5.2,5.2,Spurs,73.05,73.05,73.05,3.15,2.95,3.25
M,586,Bergvall,5.2,5.2,Spurs,41.70,41.70,41.70,1.63,1.43,1.59
M,587,Bissouma,5.2,5.2,Spurs,56.40,56.40,56.40,2.07,1.92,2.13
M,588,Odobert,5.3,5.3,Spurs,0.00,0.00,0.00,0.00,0.00,0.00
M,591,Gray,4.8,4.8,Spurs,21.75,21.75,21.75,0.84,0.76,0.83
M,593,P.M.Sarr,4.5,4.5,Spurs,25.35,25.35,25.35,1.19,1.06,1.13
M,595,Olusesi,4.3,4.3,Spurs,0.30,0.30,0.30,0.01,0.01,0.01
F,596,Solanke,7.1,7.1,Spurs,14.55,82.65,82.65,0.88,3.83,4.48
F,597,Richarlison,6.3,6.3,Spurs,77.25,30.30,30.30,4.65,1.39,1.63
G,600,Areola,4.2,4.2,West Ham,0.90,0.90,0.90,0.03,0.03,0.03
D,603,Diouf,4.1,4.1,West Ham,84.75,84.75,84.75,2.54,2.78,3.57
D,605,Kilman,4.1,4.1,West Ham,3.00,3.00,3.00,0.11,0.11,0.12
D,606,Mavropanos,4.5,4.5,West Ham,84.75,84.75,84.75,3.42,3.67,4.46
D,608,Scarles,4.3,4.3,West Ham,7.35,7.35,7.35,0.30,0.32,0.33
D,609,Todibo,4.3,4.3,West Ham,15.75,15.75,15.75,0.54,0.54,0.60
