Pos,ID,Name,BV,SV,Team,20_xMins,21_xMins,22_xMins,23_xMins,24_xMins,25_xMins,26_xMins,27_xMins,28_xMins,29_xMins,20_Pts,21_Pts,22_Pts,23_Pts,24_Pts,25_Pts,26_Pts,27_Pts,28_Pts,29_Pts
D,38,Konsa,4.4,4.4,Aston Villa,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,3.66,3.28,4.09,2.69,3.86,3.03,3.45,3.91,3.81,2.91
D,39,Maatsen,4.2,4.2,Aston Villa,76.80,76.80,76.80,76.80,76.80,76.80,76.80,76.80,76.80,76.80,3.91,3.48,4.20,3.04,4.08,3.42,3.66,4.14,4.12,3.20
D,40,Mings,4.3,4.3,Aston Villa,9.15,13.65,13.65,13.65,13.65,13.65,13.65,13.65,13.65,13.65,0.43,0.56,0.64,0.51,0.63,0.55,0.57,0.63,0.62,0.52
D,41,Pau,4.3,4.3,Aston Villa,9.90,76.65,76.65,76.65,76.65,76.65,76.65,76.65,76.65,76.65,0.45,3.16,3.76,2.67,3.67,2.94,3.19,3.74,3.61,2.75
D,42,A.García,3.9,3.9,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,44,Bogarde,4.0,4.0,Aston Villa,45.45,45.45,9.30,9.30,9.30,9.30,9.30,9.30,9.30,9.30,1.93,1.74,0.34,0.31,0.34,0.32,0.33,0.34,0.34,0.32
D,45,Sousa,3.9,3.9,Aston Villa,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
M,47,Rogers,7.5,7.5,Aston Villa,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,4.44,3.73,4.32,3.64,4.41,4.02,4.36,4.38,4.55,3.98
M,48,Tielemans,5.9,5.9,Aston Villa,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,4.10,3.70,4.13,3.78,4.14,3.96,4.10,3.98,4.21,3.85
M,50,Buendía,5.3,5.3,Aston Villa,68.10,68.10,38.40,31.80,31.80,31.80,31.80,31.80,31.80,31.80,4.17,3.61,2.30,1.67,1.92,1.83,1.91,1.89,1.97,1.76
M,52,J.Ramsey,5.3,5.3,Newcastle,43.50,23.70,23.70,23.70,23.70,23.70,23.70,23.70,23.70,23.70,1.97,1.11,1.14,1.08,0.96,1.15,1.02,0.96,1.14,1.09
M,53,Malen,5.1,5.1,Aston Villa,47.70,47.70,41.70,38.70,38.70,38.70,38.70,38.70,38.70,38.70,2.96,2.63,2.58,2.13,2.53,2.33,2.49,2.45,2.57,2.29
M,54,McGinn,5.4,5.4,Aston Villa,75.45,75.45,75.45,75.45,75.45,75.45,75.45,75.45,75.45,75.45,3.64,3.23,3.67,3.20,3.71,3.43,3.58,3.57,3.72,3.34
M,55,Barkley,4.8,4.8,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,58,Kamara,4.9,4.9,Aston Villa,75.75,75.75,75.75,75.75,75.75,75.75,75.75,75.75,75.75,75.75,2.77,2.50,2.72,2.50,2.65,2.56,2.69,2.60,2.67,2.55
M,59,Onana,4.8,4.8,Aston Villa,0.00,0.00,70.95,61.20,61.20,61.20,61.20,61.20,61.20,61.20,0.00,0.00,3.16,2.56,2.63,2.61,2.73,2.61,2.70,2.60
M,60,Broggio,4.5,4.5,Aston Villa,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.01
M,62,Jimoh-Aloba,4.5,4.5,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,63,Young,4.3,4.3,Aston Villa,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01
F,64,Watkins,8.6,8.6,Aston Villa,72.75,72.75,72.75,72.75,72.75,72.75,72.75,72.75,72.75,72.75,4.33,3.77,4.13,3.60,4.30,4.02,4.25,4.14,4.33,3.85
G,67,Petrović,4.5,4.5,Bournemouth,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,2.28,2.90,2.44,2.65,3.02,2.64,2.86,3.25,3.60,3.33
G,68,Dennis,4.0,4.0,Bournemouth,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
G,69,McKenna,3.9,3.9,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,72,Senesi,4.8,4.8,Bournemouth,85.95,85.95,85.95,85.95,85.95,85.95,85.95,85.95,85.95,85.95,3.28,4.48,3.74,3.82,4.69,4.07,4.48,4.40,4.81,4.81
D,73,Smith,4.4,4.4,Bournemouth,45.60,48.90,48.90,48.90,48.90,48.90,48.90,48.90,48.90,38.70,1.16,1.86,1.44,1.43,1.89,1.66,1.75,1.77,2.03,1.49
D,74,Truffert,4.5,4.5,Bournemouth,85.20,85.20,85.20,85.20,85.20,85.20,85.20,85.20,85.20,85.20,2.42,3.50,2.78,2.86,3.69,3.09,3.49,3.36,3.79,3.78
D,75,Akinmboni,3.8,3.8,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,76,Bevan,3.8,3.8,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,77,Hill,3.9,3.9,Bournemouth,18.15,18.15,18.15,18.15,18.15,18.15,18.15,18.15,18.15,14.85,0.66,0.79,0.71,0.72,0.81,0.75,0.80,0.78,0.82,0.63
D,80,Soler,4.0,4.0,Bournemouth,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,0.11,0.13,0.12,0.12,0.13,0.12,0.13,0.13,0.13,0.13
M,81,Kluivert,7.0,7.0,Bournemouth,62.10,65.40,68.40,68.40,68.40,68.40,68.40,68.40,68.40,65.40,2.58,3.82,3.48,3.47,4.05,3.77,3.47,3.91,4.11,3.89
M,82,Semenyo,7.7,7.7,Bournemouth,80.85,65.55,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,3.22,3.67,2.47,2.46,2.80,2.70,2.46,2.73,2.85,2.83
M,83,O.Dango,5.8,5.8,Brentford,0.00,0.00,0.00,77.85,77.85,77.85,77.85,77.85,77.85,77.85,0.00,0.00,0.00,4.37,3.85,3.79,3.28,4.35,4.54,4.16
M,84,Tavernier,5.6,5.6,Bournemouth,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,3.20,4.36,3.87,3.81,4.38,4.18,3.91,4.20,4.37,4.37
M,85,Adams,5.0,5.0,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.15
M,86,Brooks,5.0,5.0,Bournemouth,58.65,61.50,64.80,64.80,64.80,64.80,64.80,64.80,64.80,58.65,2.18,3.17,2.96,2.92,3.38,3.19,2.97,3.25,3.43,3.08
M,87,Christie,4.9,4.9,Bournemouth,29.25,29.25,32.70,32.70,32.70,32.70,32.70,32.70,32.70,18.90,1.09,1.34,1.40,1.37,1.46,1.48,1.43,1.42,1.44,0.82
M,88,Cook,4.9,4.9,Bournemouth,47.85,51.60,55.50,55.50,55.50,55.50,55.50,55.50,55.50,21.60,1.70,2.27,2.30,2.22,2.39,2.40,2.33,2.27,2.33,0.89
M,90,Scott,5.0,5.0,Bournemouth,74.70,74.70,74.70,74.70,74.70,74.70,74.70,74.70,74.70,69.30,2.77,3.56,3.28,3.17,3.45,3.45,3.32,3.29,3.44,3.17
F,97,Evanilson,7.0,7.0,Bournemouth,77.10,77.10,77.10,77.10,77.10,77.10,77.10,77.10,77.10,77.10,3.01,4.05,3.54,3.61,4.07,3.89,3.45,4.01,4.13,4.00
F,98,Enes Ünal,5.4,5.4,Bournemouth,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,0.42,0.53,0.49,0.49,0.55,0.52,0.47,0.53,0.56,0.54
F,100,Kroupi.Jr,4.6,4.6,Bournemouth,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,0.86,1.13,1.01,1.04,1.18,1.09,0.99,1.12,1.15,1.16
G,101,Kelleher,4.5,4.5,Brentford,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,3.27,4.05,3.18,3.74,2.87,2.68,2.85,3.24,4.09,3.02
G,102,Balcombe,3.9,3.9,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,103,Cox,3.9,3.9,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,104,Eyestone,3.9,3.9,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,105,Valdimarsson,3.9,3.9,Brentford,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.03
D,106,Collins,4.9,4.9,Brentford,88.95,88.95,88.95,88.95,88.95,88.95,88.95,88.95,88.95,88.95,4.46,4.78,3.28,4.38,3.72,3.70,3.39,4.12,5.18,4.10
D,107,Lewis-Potter,4.9,4.9,Brentford,79.20,79.20,79.20,21.60,21.60,21.60,21.60,21.60,21.60,21.60,3.67,4.70,2.81,0.98,0.84,0.81,0.75,0.96,1.04,0.88
D,108,Ajer,4.4,4.4,Brentford,78.90,78.90,78.90,78.90,78.90,78.90,78.90,78.90,78.90,78.90,3.89,4.17,2.87,3.82,3.21,3.26,2.94,3.60,4.46,3.58
D,109,Henry,4.3,4.3,Brentford,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,1.86,2.13,1.38,1.93,1.56,1.51,1.39,1.82,2.12,1.65
D,110,Kayode,4.5,4.5,Brentford,82.65,82.65,82.65,82.65,82.65,82.65,82.65,82.65,82.65,82.65,3.38,3.79,2.33,3.43,2.69,2.65,2.35,3.16,3.87,2.95
D,111,Pinnock,4.2,4.2,Brentford,16.65,16.65,16.65,10.20,10.20,10.20,10.20,10.20,10.20,10.20,0.82,0.85,0.67,0.46,0.43,0.43,0.41,0.45,0.51,0.46
D,113,Van den Berg,4.5,4.5,Brentford,47.55,47.55,47.55,47.55,47.55,47.55,47.55,47.55,47.55,47.55,2.25,2.38,1.66,2.20,1.87,1.89,1.68,2.08,2.55,2.08
