Pos,ID,Name,BV,SV,Team,2_xMins,3_xMins,4_xMins,5_xMins,6_xMins,2_Pts,3_Pts,4_Pts,5_Pts,6_Pts
D,6,Saliba,6.0,6.0,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,8,Calafiori,5.5,5.5,Arsenal,70.95,70.5,70.05,70.05,70.05,3.93,3.73,4.1,3.54,4.26
D,9,Hincapie,5.5,5.5,Arsenal,19.35,20.1,18.75,18.75,18.75,0.91,0.92,0.86,0.82,0.9
D,10,White,5.5,5.5,Arsenal,78.75,55.95,25.05,25.05,25.05,4.33,3.0,1.44,1.28,1.48
D,11,Mosquera,5.5,5.5,Arsenal,45.3,20.4,10.74,10.74,10.74,2.41,0.86,0.65,0.62,0.66
D,31,Konsa,4.5,4.5,Arsenal,54.6,79.35,78.9,78.9,78.9,2.76,3.7,4.34,3.73,4.32
D,30,Digne,4.5,4.5,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,32,Cash,4.5,4.5,Aston Villa,78.45,75.15,75.15,75.15,75.15,1.99,3.5,3.29,2.48,2.94
D,33,Mings,4.5,4.5,Aston Villa,11.4,10.8,10.8,10.8,10.8,0.47,0.61,0.58,0.53,0.56
D,34,Pau,4.5,4.5,Aston Villa,79.65,79.65,79.65,78.75,78.75,1.97,3.5,3.29,2.48,2.85
D,36,Maatsen,4.5,4.5,Aston Villa,52.65,52.2,52.2,52.2,52.2,1.66,2.78,2.56,2.06,2.34
D,37,Lindelöf,4.5,4.5,Aston Villa,82.05,82.05,82.05,82.2,82.2,2.11,3.63,3.5,2.66,3.08
D,38,A.García,4.0,4.0,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,39,Nedeljkovic,4.0,4.0,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,596,Ruggeri,4.5,4.5,Aston Villa,36.3,35.85,35.85,35.85,35.85,1.08,1.66,1.58,1.27,1.43
D,606,Rowe,4.0,4.0,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,60,Hill,5.5,5.5,Bournemouth,80.55,80.1,80.1,79.65,79.65,4.4,3.56,3.9,3.24,2.96
D,61,Truffert,5.5,5.5,Bournemouth,85.95,85.95,85.95,85.95,85.95,4.31,3.34,3.86,3.18,2.65
D,62,Diakité,5.0,5.0,Bournemouth,18.38,18.38,18.3,17.58,17.58,0.86,0.73,0.77,0.66,0.62
D,63,Milosavljević,5.0,5.0,Bournemouth,0.0,0.0,0.33,1.65,1.65,0.0,0.0,0.11,0.29,0.29
D,64,Smith,4.5,4.5,Bournemouth,27.9,27.9,27.9,27.9,27.9,1.12,0.91,1.03,0.88,0.82
D,65,J.Araujo,4.5,4.5,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,66,Soler,4.0,4.0,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,566,Silva,5.0,5.0,Bournemouth,81.6,81.6,81.15,81.15,81.15,4.39,3.52,3.83,3.17,2.88
D,573,Sanchez,4.5,4.5,Bournemouth,63.45,63.45,63.45,63.45,63.45,3.19,2.5,2.89,2.38,2.05
