,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
3065,21,73,Courtois,1,4,Chelsea,8,59,6
3068,21,382,Alderweireld,2,17,Spurs,6,64,6
3098,21,86,Willian,3,4,Chelsea,8,70,6
3101,21,453,Reid,2,20,West Ham,21,49,6
3107,21,341,Kaboul,2,18,Watford,57,43,6
2531,21,468,Carroll,4,20,West Ham,21,59,5
2537,21,250,Valencia,2,11,Man Utd,1,58,5
2659,21,506,Love,2,15,Sunderland,56,38,5
2899,21,495,Holgate,2,6,Everton,11,41,5
2926,21,413,Britos,2,18,Watford,57,42,5
2958,21,25,Giroud,4,1,Arsenal,3,81,5
3004,21,155,Snodgrass,3,20,West Ham,21,55,5
3006,21,143,Lukaku,4,6,Everton,11,101,5
2588,21,328,Adam,3,14,Stoke,110,46,4
2670,21,204,Can,3,9,Liverpool,14,48,4
3014,21,536,Fraser,3,2,Bournemouth,91,46,4
2491,21,286,Forshaw,3,12,Middlesbrough,25,45,3
2635,21,242,de Gea,1,11,Man Utd,1,55,3
2662,21,308,Tadic,3,13,Southampton,20,69,3
2673,21,390,Dier,3,17,Spurs,6,50,3
2677,21,416,Capoue,3,18,Watford,57,45,3
2696,21,137,Barry,3,6,Everton,11,43,3
2712,21,24,Xhaka,3,1,Arsenal,3,52,3
2713,21,284,Leadbitter,3,12,Middlesbrough,25,43,3
2772,21,560,Hendrick,3,3,Burnley,90,53,3
2896,21,290,de Roon,3,12,Middlesbrough,25,43,3
2934,21,391,Dembélé,3,17,Spurs,6,54,3
2937,21,95,Kanté,3,4,Chelsea,8,47,3
2948,21,87,Matic,3,4,Chelsea,8,48,3
3052,21,525,Defour,3,3,Burnley,90,56,3
3082,21,92,Moses,3,4,Chelsea,8,55,3
3083,21,400,Wanyama,3,17,Spurs,6,48,3
2487,21,164,Diomande,4,7,Hull,88,43,2
2492,21,205,Lallana,3,9,Liverpool,14,67,2
2527,21,39,Surman,3,2,Bournemouth,91,46,2
2528,21,68,Gray,4,3,Burnley,90,60,2
2529,21,120,Townsend,3,5,Crystal Palace,31,57,2
2535,21,267,Martial,3,11,Man Utd,1,92,2
2541,21,70,Barnes,4,3,Burnley,90,46,2
2555,21,430,Foster,1,19,West Brom,35,47,2
2576,21,562,Martins Indi,2,14,Stoke,110,49,2
2603,21,442,Yacob,3,19,West Brom,35,43,2
2614,21,149,Davies,2,7,Hull,88,49,2
2631,21,439,Fletcher,3,19,West Brom,35,44,2
2644,21,64,Marney,3,3,Burnley,90,43,2
2655,21,217,Origi,4,9,Liverpool,14,60,2
2675,21,321,Pieters,2,14,Stoke,110,46,2
2683,21,354,Borini,4,15,Sunderland,56,51,2
2686,21,500,Llorente,4,16,Swansea,80,63,2
