,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
1662,26,126,Kanté,3,6,Chelsea,8,49,2
1664,26,5,Monreal,2,1,Arsenal,3,54,2
1683,26,176,Niasse,4,5,Cardiff,97,50,2
1686,26,59,Groß,3,3,Brighton,36,67,2
1692,26,125,Pedro,3,6,Chelsea,8,62,2
1701,26,340,Højbjerg,3,16,Southampton,20,44,2
1710,26,437,Jiménez,4,20,Wolves,39,69,2
1715,26,393,Richarlison,3,8,Everton,11,64,2
1722,26,489,Snodgrass,3,19,West Ham,21,50,2
1726,26,306,Lukaku,4,14,Man Utd,1,107,2
1730,26,454,Patrício,1,20,Wolves,39,45,2
1732,26,575,Babel,3,9,Fulham,54,56,2
1733,26,427,Bennett,2,20,Wolves,39,41,2
1735,26,40,Fraser,3,2,Bournemouth,91,64,2
1739,26,433,Neves,3,20,Wolves,39,49,2
1742,26,493,Rondón,4,15,Newcastle,4,59,2
1754,26,8,Kolasinac,2,1,Arsenal,3,49,2
1756,26,531,Longstaff,3,15,Newcastle,4,45,2
1761,26,509,Rico,1,9,Fulham,54,44,2
1766,26,7,Mustafi,2,1,Arsenal,3,54,2
1797,26,169,Davies,3,8,Everton,11,50,2
1817,26,227,Ndidi,3,11,Leicester,13,49,2
1827,26,556,Valery,2,16,Southampton,20,41,2
1258,26,480,Mitrovic,4,9,Fulham,54,63,1
1262,26,295,Sánchez,3,14,Man Utd,1,100,1
1301,26,80,Westwood,3,4,Burnley,90,46,1
1311,26,219,Chilwell,2,11,Leicester,13,50,1
1380,26,354,Rose,2,17,Spurs,6,58,1
1395,26,271,David Silva,3,13,Man City,43,85,1
1402,26,225,Gray,3,11,Leicester,13,54,1
1406,26,432,Jota,3,20,Wolves,39,63,1
1407,26,543,Origi,4,12,Liverpool,14,50,1
1409,26,175,Calvert-Lewin,4,8,Everton,11,54,1
1423,26,291,Bailly,2,14,Man Utd,1,50,1
1449,26,281,Jesus,4,13,Man City,43,99,1
1452,26,51,Bong,2,3,Brighton,36,44,1
