,element,GW,web_name,element_type,team,team_name,team_code,now_cost,total_points
1034,594,31,Rhys Williams,2,Liverpool,Liverpool,14,40,0
1043,603,31,Bryan,2,Sheffield Utd,Sheffield Utd,49,39,0
688,370,31,Ward-Prowse,3,Southampton,Southampton,20,59,-1
322,150,32,Sigurdsson,3,Everton,Everton,11,68,15
426,219,32,Evans,2,Leicester,Leicester,13,56,15
598,315,32,Greenwood,3,Man Utd,Man Utd,1,73,15
705,388,32,Kane,4,Spurs,Spurs,6,119,12
713,390,32,Son,3,Spurs,Spurs,6,96,12
537,281,32,Bernardo Silva,3,Man City,Man City,43,74,11
893,498,32,Castagne,2,Leicester,Leicester,13,58,11
436,224,32,Vardy,4,Leicester,Leicester,13,102,10
607,322,32,Ritchie,3,Newcastle,Newcastle,4,49,10
978,549,32,Llorente,2,Leeds,Leeds,2,44,10
246,112,32,Arrizabalaga,1,Chelsea,Chelsea,8,47,9
541,284,32,Foden,3,Man City,Man City,43,61,9
632,340,32,Joelinton,4,Newcastle,Newcastle,4,57,9
964,543,32,Bale,3,Spurs,Spurs,6,92,9
1039,597,32,Sánchez,1,Brighton,Brighton,36,45,9
1054,642,32,Willian José,4,Wolves,Wolves,39,68,9
489,251,32,Mané,3,Liverpool,Liverpool,14,118,8
509,259,32,Alexander-Arnold,2,Liverpool,Liverpool,14,78,8
545,286,32,Rodrigo,3,Man City,Man City,43,53,8
811,461,32,Saïss,2,Wolves,Wolves,39,49,8
903,501,32,Ceballos,3,Arsenal,Arsenal,3,47,8
1069,665,32,Maja,4,Fulham,Fulham,54,50,8
81,38,32,McGinn,3,Aston Villa,Aston Villa,7,55,7
236,109,32,Rüdiger,2,Chelsea,Chelsea,8,47,7
256,116,32,Christensen,2,Chelsea,Chelsea,8,47,7
281,123,32,James,2,Chelsea,Chelsea,8,51,7
569,301,32,Lingard,3,West Ham,West Ham,21,66,7
582,306,32,Rashford,3,Man Utd,Man Utd,1,96,7
806,459,32,Coady,2,Wolves,Wolves,39,49,7
56,20,32,Willock,3,Newcastle,Newcastle,4,49,6
61,22,32,Nketiah,4,Arsenal,Arsenal,3,53,6
