,element,GW,web_name,element_type,team,team_name,team_code,now_cost,total_points
579,277,14,Fernandes,3,Man Utd,Man Utd,1,116,9
624,296,14,Wilson,4,Newcastle,Newcastle,4,72,9
699,345,14,Adams,4,Southampton,Southampton,20,69,9
806,422,14,Soucek,3,West Ham,West Ham,21,57,9
841,437,14,Semedo,2,Wolves,Wolves,39,48,9
851,450,14,Dennis,4,Watford,Watford,57,60,9
105,63,14,Maupay,4,Brighton,Brighton,36,65,8
369,196,14,Raphinha,3,Leeds,Leeds,2,65,8
374,199,14,Meslier,1,Leeds,Leeds,2,48,8
489,240,14,Jota,3,Liverpool,Liverpool,14,83,8
664,315,14,Pukki,4,Norwich,Norwich,45,58,8
711,359,14,Son,3,Spurs,Spurs,6,109,8
1013,588,14,Emerson Royal,2,Spurs,Spurs,6,46,8
22,21,14,Smith Rowe,3,Arsenal,Arsenal,3,57,7
359,190,14,Llorente,2,Leeds,Leeds,2,45,7
384,201,14,Evans,2,Leicester,Leicester,13,54,7
469,234,14,Robertson,2,Liverpool,Liverpool,14,72,7
703,353,14,Lloris,1,Spurs,Spurs,6,54,7
976,558,14,Ødegaard,3,Arsenal,Arsenal,3,55,7
202,112,14,Pope,1,Burnley,Burnley,90,54,6
244,131,14,Ziyech,3,Chelsea,Chelsea,8,73,6
707,354,14,Sissoko,3,Watford,Watford,57,44,6
714,361,14,Dier,2,Spurs,Spurs,6,46,6
720,364,14,Davies,2,Spurs,Spurs,6,44,6
726,367,14,Sánchez,2,Spurs,Spurs,6,44,6
811,423,14,Fornals,3,West Ham,West Ham,21,60,6
821,429,14,Coady,2,Wolves,Wolves,39,49,6
831,431,14,Saïss,2,Wolves,Wolves,39,51,6
846,439,14,Kilman,2,Wolves,Wolves,39,46,6
886,470,14,Ait Nouri,2,Wolves,Wolves,39,44,6
896,475,14,Sá,1,Wolves,Wolves,39,53,6
916,484,14,Gray,3,Everton,Everton,11,55,6
37,26,14,Martinelli,3,Arsenal,Arsenal,3,53,5
82,50,14,Douglas Luiz,3,Aston Villa,Aston Villa,7,44,5
182,106,14,Mee,2,Burnley,Burnley,90,47,5
198,110,14,Lowton,2,Burnley,Burnley,90,44,5
269,141,14,Havertz,3,Chelsea,Chelsea,8,79,5
339,180,14,Richarlison,4,Everton,Everton,11,75,5
509,255,14,Sterling,3,Man City,Man City,43,105,5
539,263,14,Jesus,4,Man City,Man City,43,84,5
589,281,14,Rashford,3,Man Utd,Man Utd,1,94,5
684,336,14,Redmond,3,Southampton,Southampton,20,59,5
118,69,14,Sánchez,1,Brighton,Brighton,36,46,4
126,71,14,Lamptey,2,Brighton,Brighton,36,45,4
279,143,14,Mendy,1,Chelsea,Chelsea,8,61,4
414,216,14,Ndidi,3,Leicester,Leicester,13,48,4
424,219,14,Thomas,2,Leicester,Leicester,13,43,4
17,19,14,Willock,3,Newcastle,Newcastle,4,57,3
190,108,14,Gudmundsson,3,Burnley,Burnley,90,54,3
210,115,14,Brownhill,3,Burnley,Burnley,90,43,3
214,118,14,McNeil,3,Burnley,Burnley,90,56,3
604,287,14,James,3,Leeds,Leeds,2,60,3
609,290,14,Williams,2,Norwich,Norwich,45,39,3
619,295,14,Dubravka,1,Newcastle,Newcastle,4,44,3
717,362,14,Lucas Moura,3,Spurs,Spurs,6,61,3
723,365,14,Højbjerg,3,Spurs,Spurs,6,49,3
791,419,14,Benrahma,3,West Ham,West Ham,21,59,3
816,426,14,Moutinho,3,Wolves,Wolves,39,49,3
836,435,14,Traoré,3,Wolves,Wolves,39,56,3
981,559,14,Ramsdale,1,Arsenal,Arsenal,3,51,3
990,578,14,Cornet,3,Burnley,Burnley,90,59,3
7,15,14,Partey,3,Arsenal,Arsenal,3,50,2
42,30,14,Martínez,1,Aston Villa,Aston Villa,7,55,2
47,35,14,McGinn,3,Aston Villa,Aston Villa,7,57,2
