,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
75,2,530,Ivanovic,2,West Brom,West Brom,35,44,0
79,2,122,Hudson-Odoi,3,Chelsea,Chelsea,8,57,0
103,2,418,Townsend,2,West Brom,West Brom,35,44,0
107,2,102,Azpilicueta,2,Chelsea,Chelsea,8,58,0
118,2,422,Furlong,2,West Brom,West Brom,35,45,0
133,2,468,Jota,3,Wolves,Liverpool,14,69,0
161,2,443,Balbuena,2,West Ham,West Ham,21,41,0
193,2,298,Maguire,2,Man Utd,Man Utd,1,55,0
214,2,352,Jack Robinson,2,Sheffield Utd,Sheffield Utd,49,42,0
217,2,497,Murphy,3,Newcastle,Newcastle,4,49,0
218,2,144,Riedewald,3,Crystal Palace,Crystal Palace,31,44,0
231,2,81,Tarkowski,2,Burnley,Burnley,90,53,0
236,2,369,Vestergaard,2,Southampton,Southampton,20,47,0
237,2,376,Bednarek,2,Southampton,Southampton,20,47,0
270,2,219,Evans,2,Leicester,Leicester,13,56,0
276,2,105,Jorginho,3,Chelsea,Chelsea,8,47,0
287,2,277,Cancelo,2,Man City,Man City,43,58,0
305,2,85,Long,2,Burnley,Burnley,90,43,0
312,2,412,Bartley,2,West Brom,West Brom,35,44,0
366,2,457,Doherty,2,Spurs,Spurs,6,56,0
372,2,470,Kilman,2,Wolves,Wolves,39,38,0
415,2,364,Oriol Romeu,3,Southampton,Southampton,20,45,0
442,2,275,Mahrez,3,Man City,Man City,43,81,0
467,2,417,Johnstone,1,West Brom,West Brom,35,46,0
475,2,389,Aurier,2,Spurs,Spurs,6,52,0
494,2,405,Ndombele,3,Spurs,Spurs,6,59,0
499,2,490,Thiago Silva,2,Chelsea,Chelsea,8,56,0
504,2,386,Alderweireld,2,Spurs,Spurs,6,54,0
507,2,175,Cairney,3,Fulham,Fulham,54,52,0
534,2,76,Bissouma,3,Brighton,Brighton,36,44,0
458,2,362,Bertrand,2,Southampton,Southampton,20,50,-1
782,3,224,Vardy,4,Leicester,Leicester,13,102,17
787,3,445,Bowen,3,West Ham,West Ham,21,58,15
