,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
1946,13,458,Soumaré,3,Leicester,Leicester,13,48,2
1951,13,298,Fraser,3,Newcastle,Newcastle,4,53,2
1959,13,271,Matic,3,Man Utd,Man Utd,1,43,2
1970,13,527,Chalobah,2,Chelsea,Chelsea,8,47,2
1982,13,583,Hwang,4,Wolves,Wolves,39,54,2
2047,13,174,Iwobi,3,Everton,Everton,11,58,2
2048,13,143,Mendy,1,Chelsea,Chelsea,8,61,2
2062,13,354,Sissoko,3,Watford,Watford,57,44,2
2064,13,132,Loftus-Cheek,3,Chelsea,Chelsea,8,54,2
2080,13,436,Neves,3,Wolves,Wolves,39,53,2
2083,13,144,Gallagher,3,Crystal Palace,Crystal Palace,31,61,2
2091,13,187,Rodrigo,4,Leeds,Leeds,2,62,2
2092,13,296,Wilson,4,Newcastle,Newcastle,4,72,2
2100,13,127,Rüdiger,2,Chelsea,Chelsea,8,61,2
2109,13,81,Canós,3,Brentford,Brentford,94,55,2
2127,13,30,Martínez,1,Aston Villa,Aston Villa,7,55,2
2128,13,335,Romeu,3,Southampton,Southampton,20,45,2
2138,13,263,Jesus,4,Man City,Man City,43,84,2
2149,13,40,Watkins,4,Aston Villa,Aston Villa,7,75,2
2153,13,96,Mbeumo,3,Brentford,Brentford,94,52,2
2159,13,266,Rodrigo,3,Man City,Man City,43,55,2
2163,13,131,Ziyech,3,Chelsea,Chelsea,8,73,2
2174,13,423,Fornals,3,West Ham,West Ham,21,60,2
2177,13,291,Shelvey,3,Newcastle,Newcastle,4,53,2
2184,13,171,Allan,3,Everton,Everton,11,43,2
2187,13,525,A.Armstrong,4,Southampton,Southampton,20,57,2
2188,13,516,Sargent,4,Norwich,Norwich,45,54,2
2197,13,307,Saint-Maximin,4,Newcastle,Newcastle,4,68,2
2206,13,310,Joelinton,4,Newcastle,Newcastle,4,58,2
2209,13,149,Benteke,4,Crystal Palace,Crystal Palace,31,60,2
2221,13,503,Gordon,3,Everton,Everton,11,45,2
2235,13,140,Hudson-Odoi,3,Chelsea,Chelsea,8,53,2
2240,13,315,Pukki,4,Norwich,Norwich,45,58,2
2255,13,288,Wan-Bissaka,2,Man Utd,Man Utd,1,51,2
2274,13,249,Walker,2,Man City,Man City,43,54,2
2296,13,262,Dias,2,Man City,Man City,43,62,2
2304,13,261,Bernardo,3,Man City,Man City,43,71,2
2346,13,19,Willock,3,Newcastle,Newcastle,4,57,2
2352,13,165,Coleman,2,Everton,Everton,11,49,2
2360,13,274,Fred,3,Man Utd,Man Utd,1,49,2
2366,13,284,Lindelöf,2,Man Utd,Man Utd,1,48,2
2370,13,63,Maupay,4,Brighton,Brighton,36,65,2
2372,13,422,Soucek,3,West Ham,West Ham,21,57,2
2385,13,413,Antonio,4,West Ham,West Ham,21,75,2
2387,13,70,Bissouma,3,Brighton,Brighton,36,44,2
2405,13,169,Keane,2,Everton,Everton,11,47,2
2427,13,200,Schmeichel,1,Leicester,Leicester,13,48,2
2447,13,216,Ndidi,3,Leicester,Leicester,13,48,2
1882,13,277,Fernandes,3,Man Utd,Man Utd,1,116,1
1928,13,142,James,2,Chelsea,Chelsea,8,62,1
1976,13,345,Adams,4,Southampton,Southampton,20,69,1
1983,13,281,Rashford,3,Man Utd,Man Utd,1,94,1
1990,13,236,Minamino,3,Liverpool,Liverpool,14,51,1
1993,13,256,Cancelo,2,Man City,Man City,43,69,1
1994,13,41,Nakamba,3,Aston Villa,Aston Villa,7,44,1
2013,13,138,Mount,3,Chelsea,Chelsea,8,75,1
2016,13,282,van de Beek,3,Man Utd,Everton,11,57,1
2020,13,342,Walker-Peters,2,Southampton,Southampton,20,48,1
2039,13,154,Zaha,3,Crystal Palace,Crystal Palace,31,68,1
2055,13,420,Bowen,3,West Ham,West Ham,21,68,1
2097,13,419,Benrahma,3,West Ham,West Ham,21,59,1
2099,13,484,Gray,3,Everton,Everton,11,55,1
2130,13,137,Pulisic,3,Chelsea,Chelsea,8,79,1
