,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
511,25,285,Lukaku,4,12,Man Utd,1,115,2
515,25,307,Bertrand,2,14,Southampton,20,53,2
541,25,56,Duffy,2,3,Brighton,36,46,2
559,25,188,Mounie,4,8,Huddersfield,38,55,2
563,25,363,Ki Sung-yueng,3,16,Swansea,80,46,2
578,25,156,Davies,3,7,Everton,11,51,2
582,25,417,Deeney,4,18,Watford,57,63,2
593,25,115,Hennessey,1,6,Crystal Palace,31,44,2
1,25,153,Lennon,3,4,Burnley,90,54,1
16,25,468,Hegazi,2,19,West Brom,35,46,1
27,25,19,Chamberlain,3,10,Liverpool,14,55,1
36,25,470,Christensen,2,5,Chelsea,8,53,1
51,25,103,Rüdiger,2,5,Chelsea,8,58,1
52,25,267,Valencia,2,12,Man Utd,1,69,1
55,25,93,Barnes,4,4,Burnley,90,53,1
109,25,263,Smalling,2,12,Man Utd,1,57,1
115,25,186,Quaner,4,8,Huddersfield,38,45,1
122,25,424,Dawson,2,19,West Brom,35,48,1
125,25,97,Azpilicueta,2,5,Chelsea,8,69,1
154,25,288,Yedlin,2,13,Newcastle,4,45,1
165,25,159,Calvert-Lewin,4,7,Everton,11,49,1
168,25,318,Tadic,3,14,Southampton,20,62,1
169,25,301,Gayle,4,13,Newcastle,4,61,1
185,25,386,Lamela,3,17,Spurs,6,63,1
224,25,607,Carrillo,4,14,Southampton,20,59,1
234,25,281,Mkhitaryan,3,1,Arsenal,3,77,1
242,25,253,Gündogan,3,11,Man City,43,54,1
266,25,117,Tomkins,2,6,Crystal Palace,31,44,1
319,25,51,King,4,2,Bournemouth,91,70,1
327,25,274,Mata,3,12,Man Utd,1,68,1
337,25,258,Iheanacho,4,9,Leicester,13,65,1
356,25,4,Koscielny,2,1,Arsenal,3,60,1
372,25,132,Milivojevic,3,6,Crystal Palace,31,52,1
374,25,50,Mousset,4,2,Bournemouth,91,49,1
384,25,200,Albrighton,3,9,Leicester,13,55,1
410,25,295,Ritchie,3,13,Newcastle,4,54,1
462,25,25,Giroud,4,5,Chelsea,8,84,1
466,25,320,Oriol Romeu,3,14,Southampton,20,42,1
480,25,2,Cech,1,1,Arsenal,3,53,1
490,25,173,van La Parra,3,8,Huddersfield,38,44,1
