,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
1781,30,276,Bernardo Silva,3,13,Man City,43,78,2
1783,30,507,Bernard,3,8,Everton,11,59,2
1811,30,364,Eriksen,3,17,Spurs,6,92,2
1818,30,87,Wood,4,4,Burnley,90,63,2
1823,30,430,Coady,2,20,Wolves,39,45,2
1830,30,113,Azpilicueta,2,6,Chelsea,8,64,2
1853,30,116,David Luiz,2,6,Chelsea,8,58,2
1857,30,60,Pröpper,3,3,Brighton,36,48,2
1861,30,225,Gray,3,11,Leicester,13,54,2
1872,30,534,McNeil,3,4,Burnley,90,44,2
1874,30,260,Ederson,1,13,Man City,43,57,2
1888,30,389,Capoue,3,18,Watford,57,48,2
1908,30,304,Fred,3,14,Man Utd,1,53,2
1914,30,252,Wijnaldum,3,12,Liverpool,14,55,2
1917,30,579,Higuaín,4,6,Chelsea,8,90,2
1923,30,172,Sigurdsson,3,8,Everton,11,74,2
1938,30,168,Gueye,3,8,Everton,11,47,2
1939,30,274,Gündogan,3,13,Man City,43,54,2
1940,30,323,Hayden,3,15,Newcastle,4,43,2
1945,30,82,Cork,3,4,Burnley,90,46,2
1954,30,147,McArthur,3,7,Crystal Palace,31,49,2
1962,30,463,Vestergaard,2,16,Southampton,20,46,2
1963,30,335,Bednarek,2,16,Southampton,20,40,2
1996,30,222,Evans,2,11,Leicester,13,48,2
2002,30,459,Jorginho,3,6,Chelsea,8,46,2
2006,30,45,King,4,2,Bournemouth,91,64,2
2014,30,475,Moutinho,3,20,Wolves,39,51,2
2018,30,208,Bacuna,3,10,Huddersfield,38,42,2
2030,30,498,Kepa,1,6,Chelsea,8,54,2
2046,30,519,Dendoncker,3,20,Wolves,39,43,2
2063,30,400,Fabianski,1,19,West Ham,21,47,2
2107,30,331,Yoshida,2,16,Southampton,20,41,2
2113,30,592,Batshuayi,4,7,Crystal Palace,31,62,2
2125,30,126,Kanté,3,6,Chelsea,8,49,2
2139,30,264,Otamendi,2,13,Man City,43,60,2
2141,30,279,Zinchenko,3,13,Man City,43,47,2
2155,30,125,Pedro,3,6,Chelsea,8,62,2
2186,30,489,Snodgrass,3,19,West Ham,21,50,2
2190,30,306,Lukaku,4,14,Man Utd,1,107,2
2198,30,330,Bertrand,2,16,Southampton,20,48,2
2225,30,509,Rico,1,9,Fulham,54,44,2
2227,30,49,Duffy,2,3,Brighton,36,47,2
2244,30,211,Mounie,4,10,Huddersfield,38,58,2
2260,30,182,Cairney,3,9,Fulham,54,46,2
2265,30,245,Alexander-Arnold,2,12,Liverpool,14,58,2
2276,30,263,Kompany,2,13,Man City,43,52,2
2282,30,227,Ndidi,3,11,Leicester,13,49,2
2283,30,151,Zaha,4,7,Crystal Palace,31,70,2
1695,30,402,Cresswell,2,19,West Ham,21,50,1
1697,30,199,Mooy,3,10,Huddersfield,38,50,1
1722,30,15,Iwobi,3,1,Arsenal,3,54,1
1736,30,247,Robertson,2,12,Liverpool,14,67,1
1745,30,403,Ogbonna,2,19,West Ham,21,42,1
1752,30,118,Rüdiger,2,6,Chelsea,8,59,1
1762,30,293,Young,2,14,Man Utd,1,57,1
1798,30,9,Chambers,2,9,Fulham,54,42,1
1805,30,348,Austin,4,16,Southampton,20,55,1
1814,30,192,Schindler,2,10,Huddersfield,38,42,1
1817,30,284,Smalling,2,14,Man Utd,1,56,1
1839,30,354,Rose,2,17,Spurs,6,58,1
1852,30,282,de Gea,1,14,Man Utd,1,57,1
1858,30,310,Yedlin,2,15,Newcastle,4,45,1
1859,30,406,Rice,2,19,West Ham,21,44,1
1885,30,461,Durm,2,10,Huddersfield,38,44,1
1892,30,255,Fabinho,3,12,Liverpool,14,55,1
1896,30,465,Felipe Anderson,3,19,West Ham,21,68,1
1901,30,314,Lejeune,2,15,Newcastle,4,44,1
1933,30,351,Lloris,1,17,Spurs,6,54,1
1943,30,409,Diop,2,19,West Ham,21,42,1
1968,30,419,Chicharito,4,19,West Ham,21,61,1
1972,30,141,Schlupp,2,7,Crystal Palace,31,43,1
1978,30,243,Matip,2,12,Liverpool,14,49,1
1990,30,191,Lössl,1,10,Huddersfield,38,44,1
1998,30,249,Henderson,3,12,Liverpool,14,53,1
2022,30,585,Grant,4,10,Huddersfield,38,50,1
2066,30,286,Shaw,2,14,Man Utd,1,51,1
2067,30,44,Mousset,4,2,Bournemouth,91,49,1
2071,30,414,Lanzini,3,19,West Ham,21,64,1
2080,30,417,Arnautovic,4,19,West Ham,21,67,1
2082,30,411,Noble,3,19,West Ham,21,48,1
2084,30,309,Dubravka,1,15,Newcastle,4,50,1
2092,30,47,Ryan,1,3,Brighton,36,44,1
2100,30,425,Doherty,2,20,Wolves,39,53,1
2109,30,162,Keane,2,8,Everton,11,48,1
2111,30,415,Antonio,3,19,West Ham,21,68,1
2134,30,343,Redmond,3,16,Southampton,20,55,1
2153,30,302,Pogba,3,14,Man Utd,1,86,1
2165,30,340,Højbjerg,3,16,Southampton,20,44,1
2189,30,426,Saïss,2,20,Wolves,39,42,1
2196,30,575,Babel,3,9,Fulham,54,56,1
2200,30,408,Fredericks,2,19,West Ham,21,45,1
2202,30,184,Sessegnon,3,9,Fulham,54,60,1
2272,30,292,Lindelöf,2,14,Man Utd,1,49,1
2277,30,246,van Dijk,2,12,Liverpool,14,67,1
2285,30,423,Boly,2,20,Wolves,39,47,1
1731,30,468,Alisson,1,12,Liverpool,14,59,0
1735,30,481,Pereira,3,14,Man Utd,1,45,0
1807,30,74,Taylor,2,4,Burnley,90,44,0
1836,30,266,Danilo,2,13,Man City,43,48,0
1867,30,543,Origi,4,12,Liverpool,14,50,0
1891,30,482,Schär,2,15,Newcastle,4,45,0
1930,30,18,Mkhitaryan,3,1,Arsenal,3,66,0
1956,30,254,Milner,3,12,Liverpool,14,56,0
1969,30,315,Manquillo,2,15,Newcastle,4,43,0
1979,30,441,Ward,2,7,Crystal Palace,31,43,0
1989,30,522,Stankovic,2,10,Huddersfield,38,39,0
2072,30,115,Alonso,2,6,Chelsea,8,62,0
2101,30,317,Ritchie,3,15,Newcastle,4,58,0
2145,30,339,Oriol Romeu,3,16,Southampton,20,42,0
2219,30,157,Coleman,2,8,Everton,11,52,0
2220,30,531,Longstaff,3,15,Newcastle,4,45,0
2230,30,7,Mustafi,2,1,Arsenal,3,54,0
2250,30,198,Kongolo,2,10,Huddersfield,38,43,0
2281,30,215,Morgan,2,11,Leicester,13,45,0
2287,30,392,Hughes,3,18,Watford,57,49,0
1951,30,312,Lascelles,2,15,Newcastle,4,47,-1
2467,31,45,King,4,2,Bournemouth,91,64,13
2472,31,585,Grant,4,10,Huddersfield,38,50,13
2557,31,251,Mané,3,12,Liverpool,14,103,13
2441,31,419,Chicharito,4,19,West Ham,21,61,12
2476,31,498,Kepa,1,6,Chelsea,8,54,11
2595,31,215,Morgan,2,11,Leicester,13,45,10
2434,31,233,Maddison,3,11,Leicester,13,66,9
2462,31,154,Pickford,1,8,Everton,11,49,9
2552,31,575,Babel,3,9,Fulham,54,56,9
2394,31,534,McNeil,3,4,Burnley,90,44,8
2470,31,208,Bacuna,3,10,Huddersfield,38,42,8
2509,31,317,Ritchie,3,15,Newcastle,4,58,8
2543,31,393,Richarlison,3,8,Everton,11,64,8
2558,31,493,Rondón,4,15,Newcastle,4,59,8
2565,31,157,Coleman,2,8,Everton,11,52,8
2332,31,403,Ogbonna,2,19,West Ham,21,42,7
2436,31,254,Milner,3,12,Liverpool,14,56,7
2305,31,199,Mooy,3,10,Huddersfield,38,50,6
2419,31,172,Sigurdsson,3,8,Everton,11,74,6
2488,31,484,Digne,2,8,Everton,11,54,6
2500,31,411,Noble,3,19,West Ham,21,48,6
2511,31,162,Keane,2,8,Everton,11,48,6
2391,31,175,Calvert-Lewin,4,8,Everton,11,54,5
2408,31,465,Felipe Anderson,3,19,West Ham,21,68,5
2494,31,414,Lanzini,3,19,West Ham,21,64,5
2513,31,587,Almirón,3,15,Newcastle,4,60,5
2546,31,257,Firmino,4,12,Liverpool,14,93,5
2605,31,591,Tielemans,3,11,Leicester,13,60,5
2303,31,402,Cresswell,2,19,West Ham,21,50,4
2358,31,74,Taylor,2,4,Burnley,90,44,4
2383,31,310,Yedlin,2,15,Newcastle,4,45,4
2523,31,31,Aké,2,2,Bournemouth,91,51,4
2348,31,507,Bernard,3,8,Everton,11,59,3
2425,31,168,Gueye,3,8,Everton,11,47,3
2578,31,198,Kongolo,2,10,Huddersfield,38,43,3
2317,31,480,Mitrovic,4,9,Fulham,54,63,2
2322,31,468,Alisson,1,12,Liverpool,14,59,2
2325,31,247,Robertson,2,12,Liverpool,14,67,2
2328,31,508,André Gomes,3,8,Everton,11,54,2
2336,31,25,Boruc,1,2,Bournemouth,91,41,2
2337,31,85,Barnes,4,4,Burnley,90,56,2
2338,31,80,Westwood,3,4,Burnley,90,46,2
2351,31,43,Wilson,4,2,Bournemouth,91,69,2
2364,31,87,Wood,4,4,Burnley,90,63,2
2395,31,122,Hazard,3,6,Chelsea,8,110,2
2412,31,186,Ayité,3,9,Fulham,54,42,2
2416,31,252,Wijnaldum,3,12,Liverpool,14,55,2
2417,31,579,Higuaín,4,6,Chelsea,8,90,2
2422,31,571,Barnes,3,11,Leicester,13,55,2
2429,31,82,Cork,3,4,Burnley,90,46,2
2439,31,234,Vardy,4,11,Leicester,13,90,2
2448,31,243,Matip,2,12,Liverpool,14,49,2
2452,31,76,Gudmundsson,3,4,Burnley,90,55,2
2459,31,222,Evans,2,11,Leicester,13,48,2
2464,31,459,Jorginho,3,6,Chelsea,8,46,2
2499,31,417,Arnautovic,4,19,West Ham,21,67,2
2516,31,253,Salah,3,12,Liverpool,14,132,2
2518,31,126,Kanté,3,6,Chelsea,8,49,2
2531,31,125,Pedro,3,6,Chelsea,8,62,2
2553,31,40,Fraser,3,2,Bournemouth,91,64,2
2567,31,509,Rico,1,9,Fulham,54,44,2
2585,31,182,Cairney,3,9,Fulham,54,46,2
2589,31,245,Alexander-Arnold,2,12,Liverpool,14,58,2
2594,31,246,van Dijk,2,12,Liverpool,14,67,2
2596,31,227,Ndidi,3,11,Leicester,13,49,2
2320,31,206,Pritchard,3,10,Huddersfield,38,48,1
2341,31,326,Pérez,4,15,Newcastle,4,61,1
2352,31,9,Chambers,2,9,Fulham,54,42,1
2363,31,580,Mepham,2,2,Bournemouth,91,45,1
2371,31,113,Azpilicueta,2,6,Chelsea,8,64,1
2381,31,116,David Luiz,2,6,Chelsea,8,58,1
