,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
1470,22,189,Schmeichel,1,9,Leicester,13,51,6
1506,22,265,Shaw,2,12,Man Utd,1,48,6
1629,22,264,Jones,2,12,Man Utd,1,55,6
1684,22,257,Agüero,4,11,Man City,43,115,6
1687,22,325,Long,4,14,Southampton,20,56,6
1734,22,273,Lindelöf,2,12,Man Utd,1,49,6
1154,22,131,Townsend,3,6,Crystal Palace,31,56,5
1157,22,527,Carrillo,3,18,Watford,57,54,5
1223,22,134,Benteke,4,6,Crystal Palace,31,75,5
1410,22,477,Manquillo,2,13,Newcastle,4,42,5
1448,22,45,Ibe,3,2,Bournemouth,91,46,5
1496,22,255,Sané,3,11,Man City,43,87,5
1514,22,453,Lanzini,3,20,West Ham,21,66,5
1522,22,340,Arnautovic,3,20,West Ham,21,71,5
1662,22,435,Rondón,4,19,West Brom,35,60,5
1728,22,223,Alexander-Arnold,2,10,Liverpool,14,44,5
1129,22,438,Adrián,1,20,West Ham,21,40,4
1314,22,386,Lamela,3,17,Spurs,6,63,4
1669,22,91,Vokes,4,4,Burnley,90,57,4
1222,22,300,Atsu,3,13,Newcastle,4,48,3
1251,22,204,Amartey,3,9,Leicester,13,43,3
1269,22,543,Zappacosta,2,5,Chelsea,8,59,3
1297,22,240,Ederson,1,11,Man City,43,57,3
1311,22,384,Dier,3,17,Spurs,6,47,3
1325,22,250,Fernandinho,3,11,Man City,43,50,3
1366,22,390,Son,3,17,Spurs,6,83,3
1379,22,328,Butland,1,15,Stoke,110,50,3
1442,22,296,Shelvey,3,13,Newcastle,4,52,3
1462,22,274,Mata,3,12,Man Utd,1,68,3
1536,22,54,Ryan,1,3,Brighton,36,46,3
1542,22,474,James,3,9,Leicester,13,44,3
1546,22,295,Ritchie,3,13,Newcastle,4,54,3
1566,22,298,Diamé,3,13,Newcastle,4,46,3
1591,22,107,Matic,3,12,Man Utd,1,47,3
1683,22,532,Aurier,2,17,Spurs,6,59,3
1692,22,213,Mignolet,1,10,Liverpool,14,47,3
1747,22,206,Ndidi,3,9,Leicester,13,49,3
1115,22,172,Mooy,3,8,Huddersfield,38,52,2
1120,22,414,Doucouré,3,18,Watford,57,52,2
1128,22,438,Adrián,1,20,West Ham,21,40,2
1137,22,28,Lacazette,4,1,Arsenal,3,103,2
1138,22,14,Sánchez,3,12,Man Utd,1,114,2
1141,22,19,Chamberlain,3,10,Liverpool,14,55,2
1173,22,93,Barnes,4,4,Burnley,90,53,2
1179,22,29,Begovic,1,2,Bournemouth,91,45,2
