,element,GW,web_name,element_type,team,team_name,team_code,now_cost,total_points
701,488,40,Pépé,3,1,Arsenal,3,89,3
733,516,40,Mooy,3,4,Brighton,36,47,3
745,523,40,Lo Celso,3,17,Spurs,6,73,3
801,618,40,Fernandes,3,12,Man Utd,1,90,3
805,620,40,Brownhill,3,5,Burnley,90,48,3
17,11,40,Aubameyang,4,1,Arsenal,3,109,2
45,27,40,Nyland,1,2,Aston Villa,7,43,2
53,29,40,Grealish,3,2,Aston Villa,7,59,2
57,30,40,El Ghazi,3,2,Aston Villa,7,52,2
61,31,40,McGinn,3,2,Aston Villa,7,52,2
89,77,40,Stanislas,3,3,Bournemouth,91,58,2
113,92,40,Vydra,4,5,Burnley,90,51,2
133,105,40,Azpilicueta,2,6,Chelsea,8,61,2
141,108,40,Christensen,2,6,Chelsea,8,48,2
145,110,40,Giroud,4,6,Chelsea,8,67,2
149,111,40,Kepa,1,6,Chelsea,8,54,2
157,117,40,Barkley,3,6,Chelsea,8,56,2
161,119,40,Kanté,3,6,Chelsea,8,50,2
193,138,40,McArthur,3,7,Crystal Palace,31,52,2
209,147,40,Calvert-Lewin,4,8,Everton,11,61,2
241,166,40,Vardy,4,9,Leicester,13,97,2
245,167,40,Iheanacho,4,9,Leicester,13,57,2
261,176,40,Ndidi,3,9,Leicester,13,50,2
305,202,40,Laporte,2,11,Man City,43,63,2
333,212,40,Ederson,1,11,Man City,43,61,2
337,214,40,Sterling,3,11,Man City,43,120,2
361,222,40,Gündogan,3,11,Man City,43,51,2
377,234,40,Greenwood,4,12,Man Utd,1,48,2
405,256,40,Manquillo,2,13,Newcastle,4,43,2
413,262,40,Dubravka,1,13,Newcastle,4,51,2
417,266,40,Almirón,3,13,Newcastle,4,58,2
425,271,40,Hayden,3,13,Newcastle,4,44,2
465,309,40,Targett,2,2,Aston Villa,7,43,2
469,313,40,Ings,4,16,Southampton,20,76,2
473,318,40,McCarthy,1,16,Southampton,20,45,2
477,320,40,Redmond,3,16,Southampton,20,62,2
481,321,40,Ward-Prowse,3,16,Southampton,20,57,2
485,323,40,Armstrong,3,16,Southampton,20,52,2
493,332,40,Rose,2,13,Newcastle,4,53,2
533,355,40,Masina,2,18,Watford,57,43,2
537,357,40,Kiko Femenía,2,18,Watford,57,42,2
541,362,40,Deeney,4,18,Watford,57,62,2
549,370,40,Hughes,3,18,Watford,57,53,2
553,389,40,Antonio,3,19,West Ham,21,71,2
593,414,40,Neves,3,20,Wolves,39,52,2
597,415,40,Moutinho,3,20,Wolves,39,53,2
637,439,40,Dawson,2,18,Watford,57,48,2
641,445,40,Mings,2,2,Aston Villa,7,44,2
665,463,40,Mount,3,6,Chelsea,8,60,2
669,466,40,Joelinton,4,13,Newcastle,4,55,2
673,468,40,Ayew,4,7,Crystal Palace,31,51,2
713,500,40,Saint-Maximin,3,13,Newcastle,4,52,2
749,525,40,Sarr,3,18,Watford,57,59,2
757,534,40,Connolly,4,4,Brighton,36,42,2
761,541,40,Saka,3,1,Arsenal,3,47,2
813,626,40,Bowen,3,19,West Ham,21,64,2
9,3,40,Kolasinac,2,1,Arsenal,3,52,1
41,25,40,Hause,2,2,Aston Villa,7,44,1
65,34,40,Davis,3,2,Aston Villa,7,42,1
77,53,40,Bissouma,3,4,Brighton,36,50,1
85,70,40,Mousset,4,15,Sheffield Utd,49,43,1
93,81,40,Gosling,3,3,Bournemouth,91,48,1
185,133,40,Zaha,3,7,Crystal Palace,31,66,1
189,134,40,Milivojevic,3,7,Crystal Palace,31,67,1
221,151,40,Sigurdsson,3,8,Everton,11,73,1
253,172,40,Barnes,3,9,Leicester,13,58,1
293,196,40,Keita,3,10,Liverpool,14,58,1
309,203,40,Walker,2,11,Man City,43,57,1
313,204,40,Mendy,2,11,Man City,43,55,1
317,206,40,Zinchenko,2,11,Man City,43,52,1
321,208,40,Otamendi,2,11,Man City,43,48,1
329,211,40,Jesus,4,11,Man City,43,99,1
349,218,40,Bernardo Silva,3,11,Man City,43,76,1
353,219,40,David Silva,3,11,Man City,43,75,1
401,254,40,Fernández,2,13,Newcastle,4,46,1
409,258,40,Lascelles,2,13,Newcastle,4,42,1
433,291,40,Stevens,2,15,Sheffield Utd,49,52,1
437,294,40,Baldock,2,15,Sheffield Utd,49,50,1
449,302,40,Norwood,3,15,Sheffield Utd,49,47,1
453,305,40,Bertrand,2,16,Southampton,20,48,1
457,307,40,Bednarek,2,16,Southampton,20,44,1
505,337,40,Walker-Peters,2,16,Southampton,20,44,1
605,420,40,Dendoncker,3,20,Wolves,39,44,1
609,421,40,Trossard,3,4,Brighton,36,58,1
617,423,40,Basham,2,15,Sheffield Utd,49,46,1
645,447,40,Pieters,2,5,Burnley,90,43,1
649,448,40,Tielemans,3,9,Leicester,13,61,1
681,470,40,Douglas Luiz,3,2,Aston Villa,7,43,1
709,493,40,Webster,2,4,Brighton,36,44,1
717,501,40,McBurnie,4,15,Sheffield Utd,49,55,1
753,528,40,Neto,3,20,Wolves,39,49,1
773,561,40,Gordon,4,8,Everton,11,45,1
785,611,40,Jack Robinson,2,15,Sheffield Utd,49,40,1
789,614,40,Lazaro,3,13,Newcastle,4,53,1
793,615,40,Bergwijn,3,17,Spurs,6,69,1
809,621,40,Berge,3,15,Sheffield Utd,49,47,1
81,68,40,King,4,3,Bournemouth,91,61,0
105,86,40,Bardsley,2,5,Burnley,90,44,0
137,106,40,David Luiz,2,1,Arsenal,3,57,0
169,123,40,van Aanholt,2,7,Crystal Palace,31,56,0
173,126,40,Ward,2,7,Crystal Palace,31,43,0
177,127,40,Dann,2,7,Crystal Palace,31,43,0
181,131,40,Guaita,1,7,Crystal Palace,31,49,0
325,210,40,Agüero,4,11,Man City,43,116,0
357,220,40,Foden,3,11,Man City,43,55,0
441,295,40,Egan,2,15,Sheffield Utd,49,47,0
445,298,40,Sharp,4,15,Sheffield Utd,49,52,0
557,392,40,Yarmolenko,3,19,West Ham,21,52,0
633,437,40,Adams,4,16,Southampton,20,53,0
685,471,40,Henderson,1,15,Sheffield Utd,49,52,0
697,486,40,Cédric,2,1,Arsenal,3,48,0
725,503,40,Cahill,2,7,Crystal Palace,31,43,0
737,518,40,Cancelo,2,11,Man City,43,51,0
741,519,40,Krafth,2,13,Newcastle,4,43,0
765,544,40,Garcia,2,11,Man City,43,45,0
777,584,40,Smallbone,3,16,Southampton,20,45,0
797,616,40,Soucek,3,19,West Ham,21,48,0
721,502,40,Maupay,4,4,Brighton,36,57,-1
461,308,40,Stephens,2,16,Southampton,20,44,-2
18,11,41,Aubameyang,4,1,Arsenal,3,109,16
338,214,41,Sterling,3,11,Man City,43,120,16
98,83,41,Mee,2,5,Burnley,90,49,15
714,500,41,Saint-Maximin,3,13,Newcastle,4,52,15
802,618,41,Fernandes,3,12,Man Utd,1,90,15
154,113,41,Willian,3,6,Chelsea,8,73,14
342,215,41,De Bruyne,3,11,Man City,43,106,14
470,313,41,Ings,4,16,Southampton,20,76,13
810,621,41,Berge,3,15,Sheffield Utd,49,47,13
358,220,41,Foden,3,11,Man City,43,55,12
378,234,41,Greenwood,4,12,Man Utd,1,48,12
554,389,41,Antonio,3,19,West Ham,21,71,12
570,402,41,Jonny,2,20,Wolves,39,55,12
34,18,41,Xhaka,3,1,Arsenal,3,51,10
166,122,41,Wan-Bissaka,2,12,Man Utd,1,55,10
222,151,41,Sigurdsson,3,8,Everton,11,73,10
606,420,41,Dendoncker,3,20,Wolves,39,44,10
118,93,41,Pope,1,5,Burnley,90,52,9
482,321,41,Ward-Prowse,3,16,Southampton,20,57,9
814,626,41,Bowen,3,19,West Ham,21,64,9
626,431,41,Pulisic,3,6,Chelsea,8,74,8
770,554,41,Gayle,4,13,Newcastle,4,50,8
6,2,41,Bellerín,2,1,Arsenal,3,52,7
86,70,41,Mousset,4,15,Sheffield Utd,49,43,7
110,87,41,Taylor,2,5,Burnley,90,43,7
246,167,41,Iheanacho,4,9,Leicester,13,57,7
334,212,41,Ederson,1,11,Man City,43,61,7
422,269,41,Shelvey,3,13,Newcastle,4,49,7
510,338,41,Kane,4,17,Spurs,6,110,7
574,403,41,Coady,2,20,Wolves,39,51,7
698,486,41,Cédric,2,1,Arsenal,3,48,7
798,616,41,Soucek,3,19,West Ham,21,48,7
10,3,41,Kolasinac,2,1,Arsenal,3,52,6
94,81,41,Gosling,3,3,Bournemouth,91,48,6
106,86,41,Bardsley,2,5,Burnley,90,44,6
126,101,41,Westwood,3,5,Burnley,90,55,6
138,106,41,David Luiz,2,1,Arsenal,3,57,6
218,150,41,Richarlison,3,8,Everton,11,82,6
226,160,41,Maguire,2,12,Man Utd,1,53,6
306,202,41,Laporte,2,11,Man City,43,63,6
366,225,41,Lindelöf,2,12,Man Utd,1,53,6
382,235,41,de Gea,1,12,Man Utd,1,53,6
386,238,41,Pogba,3,12,Man Utd,1,83,6
406,256,41,Manquillo,2,13,Newcastle,4,43,6
418,266,41,Almirón,3,13,Newcastle,4,58,6
518,342,41,Son,3,17,Spurs,6,97,6
558,392,41,Yarmolenko,3,19,West Ham,21,52,6
566,401,41,Doherty,2,20,Wolves,39,65,6
578,405,41,Boly,2,20,Wolves,39,49,6
582,407,41,Saïss,2,20,Wolves,39,47,6
590,411,41,Patrício,1,20,Wolves,39,53,6
646,447,41,Pieters,2,5,Burnley,90,43,6
730,515,41,Tierney,2,1,Arsenal,3,53,6
766,544,41,Garcia,2,11,Man City,43,45,6
774,561,41,Gordon,4,8,Everton,11,45,6
778,584,41,Smallbone,3,16,Southampton,20,45,6
790,614,41,Lazaro,3,13,Newcastle,4,53,6
102,84,41,Tarkowski,2,5,Burnley,90,55,5
198,141,41,Digne,2,8,Everton,11,59,5
310,203,41,Walker,2,11,Man City,43,57,5
314,204,41,Mendy,2,11,Man City,43,55,5
370,226,41,Shaw,2,12,Man Utd,1,54,5
434,291,41,Stevens,2,15,Sheffield Utd,49,52,5
618,423,41,Basham,2,15,Sheffield Utd,49,46,5
622,427,41,Martínez,1,1,Arsenal,3,44,5
718,501,41,McBurnie,4,15,Sheffield Utd,49,55,5
634,437,41,Adams,4,16,Southampton,20,53,4
122,97,41,McNeil,3,5,Burnley,90,60,3
130,102,41,Cork,3,5,Burnley,90,49,3
182,131,41,Guaita,1,7,Crystal Palace,31,49,3
362,222,41,Gündogan,3,11,Man City,43,51,3
390,239,41,Martial,3,12,Man Utd,1,85,3
394,247,41,Matic,3,12,Man Utd,1,48,3
598,415,41,Moutinho,3,20,Wolves,39,53,3
