,element,GW,web_name,element_type,team,team_name,team_code,now_cost,total_points
565,274,29,Valdés,1,12,Middlesbrough,25,45,2
580,282,29,Downing,3,12,Middlesbrough,25,48,2
595,294,29,Forster,1,13,Southampton,20,50,2
625,305,29,Davis,3,13,Southampton,20,51,2
635,308,29,Tadic,3,13,Southampton,20,69,2
650,331,29,Arnautovic,3,14,Stoke,110,71,2
690,355,29,Defoe,4,15,Sunderland,56,74,2
695,356,29,Fabianski,1,16,Swansea,80,48,2
720,368,29,Sigurdsson,3,16,Swansea,80,74,2
735,375,29,Fer,3,16,Swansea,80,48,2
740,380,29,Lloris,1,17,Spurs,6,55,2
745,382,29,Alderweireld,2,17,Spurs,6,64,2
755,385,29,Vertonghen,2,17,Spurs,6,58,2
760,386,29,Davies,2,17,Spurs,6,50,2
790,397,29,Carroll,3,16,Swansea,80,41,2
800,402,29,Son,3,17,Spurs,6,72,2
815,407,29,Gomes,1,18,Watford,57,49,2
820,408,29,Cathcart,2,18,Watford,57,43,2
835,412,29,Nyom,2,19,West Brom,35,44,2
840,413,29,Britos,2,18,Watford,57,42,2
845,416,29,Capoue,3,18,Watford,57,45,2
860,430,29,Foster,1,19,West Brom,35,47,2
865,431,29,Evans,2,19,West Brom,35,44,2
875,436,29,McAuley,2,19,West Brom,35,50,2
880,438,29,Brunt,2,19,West Brom,35,48,2
885,439,29,Fletcher,3,19,West Brom,35,44,2
890,448,29,Berahino,4,14,Stoke,110,60,2
910,459,29,Kouyaté,3,20,West Ham,21,50,2
940,478,29,Negredo,4,12,Middlesbrough,25,61,2
950,485,29,Wijnaldum,3,9,Liverpool,14,75,2
960,489,29,Sané,3,10,Man City,43,77,2
1040,574,29,Grant,1,14,Stoke,110,43,2
1050,626,29,Barton,3,3,Burnley,90,41,2
1070,637,29,Niang,4,18,Watford,57,58,2
5,6,29,Bellerín,2,1,Arsenal,3,65,1
10,10,29,Monreal,2,1,Arsenal,3,59,1
45,25,29,Giroud,4,1,Arsenal,3,81,1
125,67,29,Vokes,4,3,Burnley,90,57,1
180,97,29,Costa,4,4,Chelsea,8,104,1
255,135,29,Cleverley,3,18,Watford,57,51,1
275,147,29,Jakupovic,1,7,Hull,88,41,1
315,168,29,Fuchs,2,8,Leicester,13,53,1
325,172,29,Simpson,2,8,Leicester,13,49,1
