,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
896,29,86,Willian,3,4,Chelsea,8,70,10
285,29,12,Sánchez,3,1,Arsenal,3,117,9
373,29,394,Eriksen,3,17,Spurs,6,89,9
537,29,208,Milner,3,9,Liverpool,14,63,9
664,29,190,Sakho,2,5,Crystal Palace,31,47,9
314,29,250,Valencia,2,11,Man Utd,1,58,8
479,29,78,Cahill,2,4,Chelsea,8,67,8
540,29,103,Tomkins,2,5,Crystal Palace,31,48,8
599,29,48,King,3,2,Bournemouth,91,62,8
610,29,256,Mata,3,11,Man Utd,1,72,8
622,29,235,De Bruyne,3,10,Man City,43,105,8
795,29,176,Mahrez,3,8,Leicester,13,89,8
270,29,34,Smith,2,2,Bournemouth,91,46,7
307,29,374,Ayew,3,20,West Ham,21,71,7
328,29,398,Alli,3,17,Spurs,6,91,7
338,29,56,Mee,2,3,Burnley,90,44,7
418,29,570,David Luiz,2,4,Chelsea,8,62,7
554,29,169,Schlupp,2,5,Crystal Palace,31,47,7
567,29,105,Ward,2,5,Crystal Palace,31,48,7
574,29,342,O'Shea,2,15,Sunderland,56,44,7
582,29,330,Walters,3,14,Stoke,110,53,7
685,29,257,Fellaini,3,11,Man Utd,1,58,7
782,29,127,Jagielka,2,6,Everton,11,49,7
800,29,173,Huth,2,8,Leicester,13,49,7
851,29,32,Steve Cook,2,2,Bournemouth,91,48,7
889,29,100,Hennessey,1,5,Crystal Palace,31,43,7
317,29,29,Boruc,1,2,Bournemouth,91,45,6
322,29,260,Young,3,11,Man Utd,1,50,6
369,29,33,Daniels,2,2,Bournemouth,91,52,6
415,29,540,Janmaat,2,18,Watford,57,45,6
438,29,595,Calvert-Lewin,4,6,Everton,11,45,6
494,29,24,Xhaka,3,1,Arsenal,3,52,6
502,29,571,Robson-Kanu,4,19,West Brom,35,50,6
548,29,476,Denayer,2,15,Sunderland,56,47,6
565,29,123,Robles,1,6,Everton,11,47,6
638,29,125,Baines,2,6,Everton,11,58,6
670,29,561,Alonso,2,4,Chelsea,8,69,6
698,29,55,Lowton,2,3,Burnley,90,45,6
711,29,58,Keane,2,3,Burnley,90,50,6
729,29,391,Dembélé,3,17,Spurs,6,54,6
826,29,126,Coleman,2,6,Everton,11,56,6
830,29,239,Agüero,4,10,Man City,43,127,6
839,29,31,Francis,2,2,Bournemouth,91,45,6
846,29,57,Ward,2,3,Burnley,90,45,6
871,29,512,Davies,3,6,Everton,11,44,6
904,29,118,Cabaye,3,5,Crystal Palace,31,56,6
308,29,468,Carroll,4,20,West Ham,21,59,5
321,29,359,Williams,2,6,Everton,11,52,5
344,29,343,Jones,2,15,Sunderland,56,44,5
675,29,177,Albrighton,3,8,Leicester,13,50,5
686,29,290,de Roon,3,12,Middlesbrough,25,43,5
716,29,464,Antonio,3,20,West Ham,21,67,5
734,29,392,Chadli,3,19,West Brom,35,58,5
808,29,629,Gestede,4,12,Middlesbrough,25,45,5
893,29,628,Ndidi,3,8,Leicester,13,46,5
536,29,444,McClean,3,19,West Brom,35,48,4
798,29,209,Firmino,3,9,Liverpool,14,85,4
810,29,296,Bertrand,2,13,Southampton,20,56,4
306,29,120,Townsend,3,5,Crystal Palace,31,57,3
356,29,140,Oviedo,3,15,Sunderland,56,42,3
484,29,62,Boyd,3,3,Burnley,90,51,3
518,29,488,Gueye,3,6,Everton,11,50,3
525,29,350,Rodwell,3,15,Sunderland,56,43,3
549,29,110,Puncheon,3,5,Crystal Palace,31,51,3
555,29,560,Hendrick,3,3,Burnley,90,53,3
654,29,646,Milivojevic,3,5,Crystal Palace,31,50,3
677,29,38,Pugh,3,2,Bournemouth,91,46,3
785,29,474,Klavan,2,9,Liverpool,14,44,3
805,29,134,Barkley,3,6,Everton,11,70,3
811,29,536,Fraser,3,2,Bournemouth,91,46,3
895,29,111,Zaha,3,5,Crystal Palace,31,58,3
897,29,219,Caballero,1,10,Man City,43,48,3
261,29,163,Hernández,4,7,Hull,88,59,2
296,29,412,Nyom,2,19,West Brom,35,44,2
305,29,68,Gray,4,3,Burnley,90,60,2
318,29,70,Barnes,4,3,Burnley,90,46,2
333,29,386,Davies,2,17,Spurs,6,50,2
334,29,430,Foster,1,19,West Brom,35,47,2
371,29,459,Kouyaté,3,20,West Ham,21,50,2
372,29,213,Christian Benteke,4,5,Crystal Palace,31,72,2
376,29,438,Brunt,2,19,West Brom,35,48,2
388,29,408,Cathcart,2,18,Watford,57,43,2
396,29,77,Azpilicueta,2,4,Chelsea,8,64,2
412,29,439,Fletcher,3,19,West Brom,35,44,2
416,29,242,de Gea,1,11,Man Utd,1,55,2
443,29,308,Tadic,3,13,Southampton,20,69,2
451,29,204,Can,3,9,Liverpool,14,48,2
453,29,255,Bailly,2,11,Man Utd,1,55,2
473,29,294,Forster,1,13,Southampton,20,50,2
478,29,436,McAuley,2,19,West Brom,35,50,2
487,29,485,Wijnaldum,3,9,Liverpool,14,75,2
499,29,368,Sigurdsson,3,16,Swansea,80,74,2
511,29,402,Son,3,17,Spurs,6,72,2
512,29,407,Gomes,1,18,Watford,57,49,2
514,29,380,Lloris,1,17,Spurs,6,55,2
530,29,157,Livermore,3,19,West Brom,35,47,2
546,29,385,Vertonghen,2,17,Spurs,6,58,2
558,29,355,Defoe,4,15,Sunderland,56,74,2
568,29,626,Barton,3,3,Burnley,90,41,2
585,29,431,Evans,2,19,West Brom,35,44,2
619,29,165,Schmeichel,1,8,Leicester,13,49,2
635,29,206,Markovic,3,7,Hull,88,52,2
637,29,574,Grant,1,14,Stoke,110,43,2
642,29,375,Fer,3,16,Swansea,80,48,2
643,29,489,Sané,3,10,Man City,43,77,2
652,29,356,Fabianski,1,16,Swansea,80,48,2
660,29,637,Niang,4,18,Watford,57,58,2
674,29,271,Rashford,4,11,Man Utd,1,64,2
719,29,413,Britos,2,18,Watford,57,42,2
732,29,95,Kanté,3,4,Chelsea,8,47,2
738,29,193,Clyne,2,9,Liverpool,14,59,2
779,29,203,Coutinho,3,9,Liverpool,14,87,2
786,29,228,Sterling,3,10,Man City,43,75,2
801,29,155,Snodgrass,3,20,West Ham,21,55,2
815,29,448,Berahino,4,14,Stoke,110,60,2
819,29,156,Clucas,3,7,Hull,88,47,2
840,29,188,Mignolet,1,9,Liverpool,14,48,2
848,29,305,Davis,3,13,Southampton,20,51,2
853,29,282,Downing,3,12,Middlesbrough,25,48,2
860,29,13,Walcott,3,1,Arsenal,3,72,2
862,29,73,Courtois,1,4,Chelsea,8,59,2
866,29,382,Alderweireld,2,17,Spurs,6,64,2
869,29,397,Carroll,3,16,Swansea,80,41,2
887,29,274,Valdés,1,12,Middlesbrough,25,45,2
908,29,478,Negredo,4,12,Middlesbrough,25,61,2
263,29,563,Traoré,3,12,Middlesbrough,25,48,1
264,29,283,Clayton,3,12,Middlesbrough,25,43,1
276,29,158,Elmohamady,3,7,Hull,88,46,1
313,29,477,Barragán,2,12,Middlesbrough,25,43,1
316,29,505,Masuaku,2,20,West Ham,21,47,1
335,29,278,Gibson,2,12,Middlesbrough,25,49,1
342,29,280,Bernardo,2,12,Middlesbrough,25,42,1
374,29,168,Fuchs,2,8,Leicester,13,53,1
395,29,301,Cédric,2,13,Southampton,20,49,1
403,29,179,Drinkwater,3,8,Leicester,13,53,1
409,29,172,Simpson,2,8,Leicester,13,49,1
413,29,451,Randolph,1,20,West Ham,21,44,1
423,29,230,Silva,3,10,Man City,43,86,1
431,29,97,Costa,4,4,Chelsea,8,104,1
436,29,217,Origi,4,9,Liverpool,14,60,1
446,29,147,Jakupovic,1,7,Hull,88,41,1
454,29,390,Dier,3,17,Spurs,6,50,1
465,29,363,Fernández,2,16,Swansea,80,42,1
516,29,6,Bellerín,2,1,Arsenal,3,65,1
522,29,567,Slimani,4,8,Leicester,13,82,1
524,29,367,Cork,3,16,Swansea,80,46,1
527,29,504,Stephens,2,13,Southampton,20,42,1
528,29,17,Wilshere,3,2,Bournemouth,91,58,1
564,29,199,Matip,2,9,Liverpool,14,54,1
587,29,642,Ayew,4,16,Swansea,80,50,1
598,29,297,Fonte,2,20,West Ham,21,53,1
617,29,647,Grosicki,3,7,Hull,88,55,1
628,29,387,Trippier,2,17,Spurs,6,47,1
639,29,200,Lucas,3,9,Liverpool,14,44,1
671,29,248,Rojo,2,11,Man Utd,1,52,1
705,29,298,Yoshida,2,13,Southampton,20,45,1
726,29,264,Schneiderlin,3,6,Everton,11,45,1
735,29,10,Monreal,2,1,Arsenal,3,59,1
741,29,304,Redmond,3,13,Southampton,20,59,1
753,29,25,Giroud,4,1,Arsenal,3,81,1
814,29,212,Mané,3,9,Liverpool,14,93,1
818,29,457,Byram,2,20,West Ham,21,42,1
837,29,555,Mustafi,2,1,Arsenal,3,58,1
870,29,135,Cleverley,3,18,Watford,57,51,1
883,29,405,Janssen,4,17,Spurs,6,75,1
891,29,369,Routledge,3,16,Swansea,80,45,1
903,29,174,Benalouane,2,8,Leicester,13,40,1
299,29,262,Herrera,3,11,Man Utd,1,62,0
301,29,638,Ranocchia,2,7,Hull,88,45,0
303,29,152,Robertson,2,7,Hull,88,44,0
366,29,83,Fàbregas,3,4,Chelsea,8,70,0
428,29,181,Gray,3,8,Leicester,13,48,0
444,29,82,Hazard,3,4,Chelsea,8,105,0
462,29,227,Delph,3,10,Man City,43,47,0
475,29,5,Gabriel,2,1,Arsenal,3,48,0
504,29,37,Arter,3,2,Bournemouth,91,50,0
507,29,153,Maguire,2,7,Hull,88,44,0
510,29,268,Mkhitaryan,3,11,Man Utd,1,87,0
533,29,452,Collins,2,20,West Ham,21,42,0
561,29,232,Navas,3,10,Man City,43,61,0
594,29,309,Clasie,3,13,Southampton,20,46,0
607,29,411,Holebas,2,18,Watford,57,46,0
624,29,133,Mirallas,3,6,Everton,11,59,0
631,29,358,Naughton,2,16,Swansea,80,44,0
657,29,247,Shaw,2,11,Man Utd,1,52,0
687,29,106,Kelly,2,5,Crystal Palace,31,42,0
688,29,633,Olsson,2,16,Swansea,80,41,0
699,29,131,Pennington,2,6,Everton,11,39,0
707,29,14,Özil,3,1,Arsenal,3,95,0
760,29,145,Niasse,4,7,Hull,88,55,0
875,29,425,Deeney,4,18,Watford,57,66,0
906,29,272,Ibrahimovic,4,11,Man Utd,1,114,0
294,29,558,Mawson,2,16,Swansea,80,46,-1
1065,30,172,Simpson,2,8,Leicester,13,49,15
1376,30,413,Britos,2,18,Watford,57,42,15
1436,30,203,Coutinho,3,9,Liverpool,14,87,13
1494,30,555,Mustafi,2,1,Arsenal,3,58,12
955,30,638,Ranocchia,2,7,Hull,88,45,11
1043,30,408,Cathcart,2,18,Watford,57,43,11
1110,30,390,Dier,3,17,Spurs,6,50,11
1552,30,111,Zaha,3,5,Crystal Palace,31,58,11
957,30,152,Robertson,2,7,Hull,88,44,10
1021,30,83,Fàbregas,3,4,Chelsea,8,70,10
1027,30,213,Christian Benteke,4,5,Crystal Palace,31,72,10
1544,30,274,Valdés,1,12,Middlesbrough,25,45,10
1550,30,628,Ndidi,3,8,Leicester,13,46,10
1241,30,431,Evans,2,19,West Brom,35,44,9
1508,30,32,Steve Cook,2,2,Bournemouth,91,48,9
968,30,250,Valencia,2,11,Man Utd,1,58,8
971,30,29,Boruc,1,2,Bournemouth,91,45,8
990,30,278,Gibson,2,12,Middlesbrough,25,49,8
1109,30,255,Bailly,2,11,Man Utd,1,55,8
1134,30,436,McAuley,2,19,West Brom,35,50,8
1170,30,380,Lloris,1,17,Spurs,6,55,8
1183,30,504,Stephens,2,13,Southampton,20,42,8
924,30,34,Smith,2,2,Bournemouth,91,46,7
989,30,430,Foster,1,19,West Brom,35,47,7
1168,30,407,Gomes,1,18,Watford,57,49,7
1200,30,184,Vardy,4,8,Leicester,13,99,7
