,element,GW,web_name,element_type,team,team_name,team_code,now_cost,total_points
230,146,14,Mitchell,2,Crystal Palace,Crystal Palace,31,38,0
267,187,14,Cavaleiro,3,Fulham,Fulham,54,53,0
298,211,14,Struijk,2,Leeds,Leeds,2,40,0
418,283,14,Zinchenko,2,Man City,Man City,43,55,0
422,284,14,Foden,3,Man City,Man City,43,61,0
439,296,14,Pogba,3,Man Utd,Man Utd,1,76,0
479,310,14,Bailly,2,Man Utd,Man Utd,1,48,0
494,320,14,Carroll,4,Newcastle,Newcastle,4,51,0
514,334,14,Schär,2,Newcastle,Newcastle,4,48,0
539,356,14,Osborn,3,Sheffield Utd,Sheffield Utd,49,47,0
556,367,14,Stephens,2,Southampton,Southampton,20,46,0
588,391,14,Dier,2,Spurs,Spurs,6,46,0
592,395,14,Davies,2,Spurs,Spurs,6,45,0
744,563,14,Ait Nouri,2,Wolves,Wolves,39,50,0
765,576,14,Dawson,2,West Ham,West Ham,21,45,0
39,16,14,Holding,2,Arsenal,Arsenal,3,43,-1
180,128,14,Guaita,1,Crystal Palace,Crystal Palace,31,48,-1
270,197,14,Ayling,2,Leeds,Leeds,2,44,-1
282,201,14,Alioski,2,Leeds,Leeds,2,44,-1
576,386,14,Alderweireld,2,Spurs,Spurs,6,54,-1
73,39,15,Hause,2,Aston Villa,Aston Villa,7,44,15
60,24,15,Saka,3,Arsenal,Arsenal,3,51,13
455,302,15,Fernandes,3,Man Utd,Man Utd,1,113,12
240,150,15,Sigurdsson,3,Everton,Everton,11,68,11
303,213,15,Meslier,1,Leeds,Leeds,2,48,11
391,271,15,Gündogan,3,Man City,Man City,43,55,11
597,405,15,Ndombele,3,Spurs,Spurs,6,59,11
708,514,15,Watkins,4,Aston Villa,Aston Villa,7,63,11
31,12,15,Martínez,1,Aston Villa,Aston Villa,7,53,10
621,449,15,Soucek,3,West Ham,West Ham,21,52,10
634,461,15,Saïss,2,Wolves,Wolves,39,49,10
81,45,15,El Ghazi,3,Aston Villa,Aston Villa,7,52,9
89,62,15,Dunk,2,Brighton,Brighton,36,48,9
359,251,15,Mané,3,Liverpool,Liverpool,14,118,9
569,376,15,Bednarek,2,Southampton,Southampton,20,47,9
601,419,15,Ajayi,2,West Brom,West Brom,35,48,9
6,6,15,Lacazette,4,Arsenal,Arsenal,3,84,8
11,8,15,Leno,1,Arsenal,Arsenal,3,50,8
16,9,15,Xhaka,3,Arsenal,Arsenal,3,52,8
244,156,15,Keane,2,Everton,Everton,11,50,8
287,202,15,Bamford,4,Leeds,Leeds,2,66,8
431,287,15,Torres,3,Man City,Man City,43,70,8
565,375,15,Walker-Peters,2,Southampton,Southampton,20,47,8
712,516,15,Areola,1,Fulham,Fulham,54,45,8
99,68,15,Maupay,4,Brighton,Brighton,36,58,7
256,162,15,Mina,2,Everton,Everton,11,55,7
264,165,15,Holgate,2,Everton,Everton,11,48,7
299,211,15,Struijk,2,Leeds,Leeds,2,40,7
335,235,15,Barnes,3,Leicester,Leicester,13,66,7
351,246,15,Matip,2,Liverpool,Liverpool,14,54,7
407,277,15,Cancelo,2,Man City,Man City,43,58,7
465,306,15,Rashford,3,Man Utd,Man Utd,1,96,7
715,540,15,Traoré,3,Aston Villa,Aston Villa,7,58,7
55,23,15,Smith Rowe,3,Arsenal,Arsenal,3,42,6
77,42,15,Targett,2,Aston Villa,Aston Villa,7,50,6
165,118,15,Abraham,4,Chelsea,Chelsea,8,71,6
271,197,15,Ayling,2,Leeds,Leeds,2,44,6
279,200,15,Dallas,2,Leeds,Leeds,2,55,6
283,201,15,Alioski,2,Leeds,Leeds,2,44,6
399,273,15,Stones,2,Man City,Man City,43,51,6
403,276,15,Sterling,3,Man City,Man City,43,109,6
411,278,15,Ederson,1,Man City,Man City,43,61,6
545,362,15,Bertrand,2,Southampton,Southampton,20,50,6
549,363,15,McCarthy,1,Southampton,Southampton,20,44,6
557,367,15,Stephens,2,Southampton,Southampton,20,46,6
593,395,15,Davies,2,Spurs,Spurs,6,45,6
649,474,15,Neto,3,Wolves,Wolves,39,55,6
659,484,15,Robinson,2,Fulham,Fulham,54,44,6
675,496,15,Cash,2,Aston Villa,Aston Villa,7,50,6
704,512,15,Doucouré,3,Everton,Everton,11,51,6
719,542,15,Reguilón,2,Spurs,Spurs,6,55,6
727,556,15,Dias,2,Man City,Man City,43,59,6
742,562,15,Aina,2,Fulham,Fulham,54,43,6
763,572,15,Adarabioyo,2,Fulham,Fulham,54,45,6
94,65,15,March,3,Brighton,Brighton,36,49,5
248,157,15,Pickford,1,Everton,Everton,11,48,5
319,224,15,Vardy,4,Leicester,Leicester,13,102,5
750,566,15,Godfrey,2,Everton,Everton,11,51,5
45,17,15,Tierney,2,Arsenal,Arsenal,3,52,4
177,122,15,Hudson-Odoi,3,Chelsea,Chelsea,8,57,4
327,231,15,Maddison,3,Leicester,Leicester,13,72,4
613,435,15,Cresswell,2,West Ham,West Ham,21,57,4
754,569,15,Cavani,4,Man Utd,Man Utd,1,80,4
69,38,15,McGinn,3,Aston Villa,Aston Villa,7,55,3
85,52,15,Douglas Luiz,3,Aston Villa,Aston Villa,7,48,3
137,96,15,Pope,1,Burnley,Burnley,90,55,3
181,128,15,Guaita,1,Crystal Palace,Crystal Palace,31,48,3
236,148,15,Walcott,3,Southampton,Southampton,20,58,3
252,159,15,Iwobi,3,Everton,Everton,11,59,3
260,163,15,Davies,3,Everton,Everton,11,52,3
268,187,15,Cavaleiro,3,Fulham,Fulham,54,53,3
275,198,15,Klich,3,Leeds,Leeds,2,52,3
291,203,15,Harrison,3,Leeds,Leeds,2,56,3
295,204,15,Phillips,3,Leeds,Leeds,2,49,3
323,228,15,Tielemans,3,Leicester,Leicester,13,64,3
395,272,15,De Bruyne,3,Man City,Man City,43,118,3
415,281,15,Bernardo Silva,3,Man City,Man City,43,74,3
450,300,15,Shaw,2,Man Utd,Man Utd,1,55,3
561,370,15,Ward-Prowse,3,Southampton,Southampton,20,59,3
573,383,15,Lloris,1,Spurs,Spurs,6,56,3
585,390,15,Son,3,Spurs,Spurs,6,96,3
731,557,15,Lookman,3,Fulham,Fulham,54,47,3
759,570,15,Raphinha,3,Leeds,Leeds,2,56,3
26,11,15,Bellerín,2,Arsenal,Arsenal,3,50,2
40,16,15,Holding,2,Arsenal,Arsenal,3,43,2
65,37,15,Grealish,3,Aston Villa,Aston Villa,7,75,2
104,69,15,Trossard,3,Brighton,Brighton,36,55,2
113,83,15,Pieters,2,Burnley,Burnley,90,43,2
121,88,15,Mee,2,Burnley,Burnley,90,47,2
125,91,15,Wood,4,Burnley,Burnley,90,66,2
129,92,15,Lowton,2,Burnley,Burnley,90,44,2
141,97,15,Taylor,2,Burnley,Burnley,90,44,2
145,98,15,Brownhill,3,Burnley,Burnley,90,49,2
169,119,15,Pulisic,3,Chelsea,Chelsea,8,83,2
173,120,15,Mount,3,Chelsea,Chelsea,8,73,2
191,130,15,McArthur,3,Crystal Palace,Crystal Palace,31,52,2
196,132,15,Benteke,4,Crystal Palace,Crystal Palace,31,55,2
201,133,15,Kouyaté,3,Crystal Palace,Crystal Palace,31,48,2
226,142,15,Schlupp,3,Crystal Palace,Crystal Palace,31,53,2
315,221,15,Albrighton,3,Leicester,Leicester,13,52,2
343,243,15,Wijnaldum,3,Liverpool,Liverpool,14,53,2
347,244,15,Henderson,3,Liverpool,Liverpool,14,54,2
355,249,15,Firmino,4,Liverpool,Liverpool,14,91,2
363,252,15,Alisson,1,Liverpool,Liverpool,14,60,2
367,253,15,Fabinho,3,Liverpool,Liverpool,14,54,2
371,254,15,Salah,3,Liverpool,Liverpool,14,129,2
375,255,15,Robertson,2,Liverpool,Liverpool,14,73,2
383,259,15,Alexander-Arnold,2,Liverpool,Liverpool,14,78,2
460,303,15,Martial,4,Man Utd,Man Utd,1,86,2
470,308,15,Lindelöf,2,Man Utd,Man Utd,1,48,2
475,309,15,McTominay,3,Man Utd,Man Utd,1,49,2
510,325,15,Darlow,1,Newcastle,Newcastle,4,49,2
525,340,15,Joelinton,4,Newcastle,Newcastle,4,57,2
530,344,15,McGoldrick,4,Sheffield Utd,Sheffield Utd,49,52,2
535,353,15,Egan,2,Sheffield Utd,Sheffield Utd,49,47,2
540,356,15,Osborn,3,Sheffield Utd,Sheffield Utd,49,47,2
